location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
b85c7f5e66a60960f15c3d53c3035352,/workdir/arrow_build/brotli_ep-prefix/src/brotli_ep/c/enc/histogram_inc.h,19,3,19,3,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
9b5f91690a70e784033f9400468fa004,/workdir/arrow_build/brotli_ep-prefix/src/brotli_ep/c/enc/histogram_inc.h,19,3,19,3,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
6dcd973afd6f0ae3e5e86bc411955ebe,/workdir/arrow_build/brotli_ep-prefix/src/brotli_ep/c/enc/histogram_inc.h,19,3,19,3,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
61732f2e0c25e55262da474e9d012615,/workdir/arrow_build/brotli_ep-prefix/src/brotli_ep/c/enc/brotli_bit_stream.c,387,3,387,3,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
dd1679a30326d15e38365f6d7e5b9fc4,/workdir/arrow_build/brotli_ep-prefix/src/brotli_ep/c/enc/brotli_bit_stream.c,433,3,433,3,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
7dbb70ed4aef3ae6dbe429b3d8468034,/workdir/arrow_build/brotli_ep-prefix/src/brotli_ep/c/enc/brotli_bit_stream.c,706,3,706,3,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
8f252f1b42422d208df65bac9ae84797,/workdir/arrow_build/brotli_ep-prefix/src/brotli_ep/c/enc/brotli_bit_stream.c,744,5,744,5,core.CallAndMessage,core.CallAndMessage,1st function call argument is an uninitialized value,CWE-710,HIGH
7477faf103c608b3e2435ac38bacd8b7,/workdir/arrow_build/brotli_ep-prefix/src/brotli_ep/c/enc/brotli_bit_stream.c,749,3,749,3,core.CallAndMessage,core.CallAndMessage,1st function call argument is an uninitialized value,CWE-710,HIGH
76bb94f769d1e612c355ab131fc80e0f,/workdir/arrow_build/brotli_ep-prefix/src/brotli_ep/c/enc/brotli_bit_stream.c,768,3,768,3,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
2f294b9fbfa788c7377cc57c5c33438b,/workdir/arrow_build/brotli_ep-prefix/src/brotli_ep/c/enc/brotli_bit_stream.c,769,3,769,3,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
10928a4b59920d5ff3f2918174f29aea,/workdir/arrow_build/brotli_ep-prefix/src/brotli_ep/c/enc/brotli_bit_stream.c,804,5,804,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
e0e12a8099dec587c4380c8e37f51377,/workdir/arrow_build/brotli_ep-prefix/src/brotli_ep/c/enc/brotli_bit_stream.c,1291,5,1291,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
285381ca430057cf41b16a45b82ffd52,/workdir/arrow_build/brotli_ep-prefix/src/brotli_ep/c/enc/brotli_bit_stream.c,1296,3,1296,3,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
