location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
9eda96c0fd12194469cd8a7ee72a0e89,common/posib_err.hpp,187,9,187,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
abf61b5173596669c1372a56f39da2af,lib/speller-c.cpp,167,3,167,3,core.uninitialized.UndefReturn,core.uninitialized.UndefReturn,Undefined or garbage value returned to caller,CWE-664,HIGH
2c338dcfcde0100d2371016fd7db5d31,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
06c5bad12e2482be5507513b4e8f7153,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
310531a848a44b92f6fd304489128f28,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
8b793ba1e764dd2aa2407a23cc478e12,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
dcf3f786b2adef425efcf0c66b28f037,common/filter.cpp,103,5,103,5,core.uninitialized.Assign,core.uninitialized.Assign,Assigned value is garbage or undefined,CWE-664,HIGH
bb62ceb77e45b36626872fe714f6cf8a,common/posib_err.hpp,177,5,177,5,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
8c693ebfb51cf4d3bd137c73ea7e4a68,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
d861fabfd89b56375cf28730d63bc433,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
43eb4bd925304fabc8582581c21c60f4,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
94dd9149345152ba28e62ea64614d414,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
49fded2cecd08e64d22cfddd37b5cf1d,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
c7062be325e08230e294c2895c767ea9,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
e992c9c309c21c4bc94604f2be82291e,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
71140fdc325ac9884294cade950b607a,common/posib_err.hpp,190,12,190,12,core.uninitialized.Assign,core.uninitialized.Assign,Assigned value is garbage or undefined,CWE-664,HIGH
85c258e8522cd716fbef6cab8f63d497,lib/new_fmode.cpp,412,11,412,11,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'position' is used in the enclosing expression, the value is never actually read from 'position'",CWE-710,LOW
084517783e7029e789dc7ca147052948,lib/new_fmode.cpp,687,15,687,15,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'add' is never read,CWE-710,LOW
ee5f05db756eedf4279d5c5675f90f91,modules/speller/default/suggest.cpp,117,56,117,56,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,9 uninitialized fields at the end of the constructor call,,MEDIUM
ee5f05db756eedf4279d5c5675f90f91,modules/speller/default/suggest.cpp,117,56,117,56,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,9 uninitialized fields at the end of the constructor call,,MEDIUM
adda962b8c903400d36208919c21d4ad,modules/speller/default/suggest.cpp,117,56,117,56,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,9 uninitialized fields at the end of the constructor call,,MEDIUM
f7964315351558404641e576b9154ee5,modules/speller/default/suggest.cpp,995,5,995,5,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'ns' is never read,CWE-710,LOW
dec318c15ed4d165867bc4fcaeed74d5,common/strtonum.cpp,85,7,85,7,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'sign' is never read,CWE-710,LOW
c0ce0de03c2c9e0b0ef774cdc22d6a92,common/posib_err.hpp,174,9,174,9,core.uninitialized.Assign,core.uninitialized.Assign,Value assigned to field 'data' in implicit constructor is garbage or undefined,CWE-664,HIGH
f6fc1b6f3cdb459ee980594e1db004c5,common/posib_err.hpp,187,9,187,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
1fc1ad807b774fe9bd531c2cfcdcff83,common/posib_err.hpp,187,9,187,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
71140fdc325ac9884294cade950b607a,common/posib_err.hpp,190,12,190,12,core.uninitialized.Assign,core.uninitialized.Assign,Assigned value is garbage or undefined,CWE-664,HIGH
624540a161f8a03d26a42cadd15f977e,modules/speller/default/affix.cpp,663,3,663,3,core.VLASize,core.VLASize,Declared variable-length array (VLA) has zero size,CWE-710,HIGH
d797f94df9f08fbea109096cd9151949,modules/speller/default/affix.cpp,1083,17,1083,17,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
672f1590aff58df86efdfe9dcdae23f6,modules/speller/default/affix.cpp,1084,5,1084,5,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
706df431035e6d77055d16c7d670fba2,modules/speller/default/affix.cpp,1238,5,1238,5,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
bfb5b46e1860f11cca96aca09e25fb5f,modules/speller/default/affix.cpp,1241,7,1241,7,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
839b19f27c03829b03e27e435c75210c,modules/speller/default/affix.cpp,1260,7,1260,7,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'tmpl' is never read,CWE-710,LOW
daf09c5cd5637e4794068547f498a29e,common/string.hpp,472,28,472,28,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
2b0c80c1f9d25d322df95fc89cb0b66a,common/posib_err.hpp,177,5,177,5,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
67112235bf4aed38f51c8d380b8ddc2d,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
9fd2fe8b09f206a2ef0fb4f79e706e6e,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
082361eb4019c4ca54e4d14367d3f256,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
8e0bb0c570ba0893547393c4117d95d5,common/posib_err.hpp,180,9,180,9,optin.cplusplus.UninitializedObject,optin.cplusplus.UninitializedObject,1 uninitialized field at the end of the constructor call,,MEDIUM
