location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
f462e72cb7413f9a:1,modules/filter/markdown.cpp,603,3,-1,4,cpp/missing-return,Missing return statement,Function parse_attribute should return a value of type State but does not return a value here,,HIGH
256e725206edbb62:1,common/errors.hpp,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
e8db63a0a7c2f0ba:1,modules/speller/default/primes.hpp,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
db51d941dca572e6:1,prog/checker_string.hpp,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
33661da77d5a8a82:1,prog/aspell.cpp,814,4,819,5,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
41b369ea128b6428:1,common/config.cpp,632,6,-1,7,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
461fecee979ca58f:1,common/config.cpp,633,47,-1,48,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
7f388fee723772b7:1,modules/filter/url.cpp,54,9,-1,12,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
a030c162a6acff7d:1,prog/prezip.c,185,17,-1,18,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
174fe517a297e2a7:1,modules/filter/nroff.cpp,110,5,287,8,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [escape (42 lines)](1).,,LOW
e26895f68faf60f0:1,modules/filter/sgml.cpp,173,5,391,6,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [S_tag (48 lines)](1).,,LOW
3ea2f05a805ff5b9:1,prog/aspell.cpp,760,5,934,6,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [36 (47 lines)](1).,,LOW
fa88fb20890304dd:1,common/error.cpp,48,9,-1,13,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
fabab998d5e729b5:1,common/error.cpp,35,9,-1,13,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
aeff9543ff3eb1cc:1,common/string.hpp,251,20,-1,26,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
e1a1adc5df45f6c3:1,common/string.cpp,31,11,-1,17,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
388a6ce79e3a590a:1,lib/new_filter.cpp,345,24,-1,28,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
40747bd7041a1cf0:1,modules/speller/default/phonet.cpp,72,29,-1,33,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
3db797a0e7c95ae1:1,modules/speller/default/typo_editdist.hpp,49,34,-1,38,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
89c727b39afb6efb:1,prog/aspell.cpp,2773,12,-1,15,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
3b3ecbe704a27d5e:1,prog/aspell.cpp,2124,10,-1,13,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
b2597207d30e45c2:1,prog/aspell.cpp,2062,12,-1,15,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
7c326464fe51e26e:2,common/objstack.hpp,151,14,-1,15,cpp/declaration-hides-parameter,Declaration hides parameter,Local variable 's' hides a [parameter of the same name](1).,,LOW
691c54319942cc23:1,lib/find_speller.cpp,442,27,-1,28,cpp/declaration-hides-parameter,Declaration hides parameter,Local variable 'c' hides a [parameter of the same name](1).,,LOW
d590655a575a9e80:1,modules/speller/default/vector_hash-t.hpp,161,14,-1,15,cpp/declaration-hides-parameter,Declaration hides parameter,Local variable 'p' hides a [parameter of the same name](1).,,LOW
9fc6bc82ab9c47d9:1,modules/speller/default/vector_hash-t.hpp,178,19,-1,20,cpp/declaration-hides-parameter,Declaration hides parameter,Local variable 'i' hides a [parameter of the same name](1).,,LOW
274f85c6d10d7aad:1,common/convert.cpp,467,14,-1,15,cpp/declaration-hides-variable,Declaration hides variable,Variable p hides another variable of the same name (on [line 449](1)).,,LOW
f74ab841f61768a5:2,common/config.cpp,201,40,-1,41,cpp/declaration-hides-variable,Declaration hides variable,Variable i hides another variable of the same name (on [line 189](1)).,,LOW
8bc3ba8b11e839fa:1,lib/find_speller.cpp,441,18,-1,19,cpp/declaration-hides-variable,Declaration hides variable,Variable p hides another variable of the same name (on [line 316](1)).,,LOW
45d5026af01b2584:1,modules/speller/default/affix.cpp,298,14,-1,17,cpp/declaration-hides-variable,Declaration hides variable,Variable buf hides another variable of the same name (on [line 275](1)).,,LOW
345b778cd410f8:1,modules/speller/default/affix.cpp,910,20,-1,23,cpp/declaration-hides-variable,Declaration hides variable,Variable cur hides another variable of the same name (on [line 879](1)).,,LOW
c8bc30329b4d15ea:1,modules/speller/default/data.cpp,410,27,-1,28,cpp/declaration-hides-variable,Declaration hides variable,Variable d hides another variable of the same name (on [line 357](1)).,,LOW
e22516c65030021:1,modules/speller/default/phonet.cpp,213,12,-1,13,cpp/declaration-hides-variable,Declaration hides variable,Variable c hides another variable of the same name (on [line 205](1)).,,LOW
4342680e2728943:1,modules/speller/default/readonly_ws.cpp,956,24,-1,25,cpp/declaration-hides-variable,Declaration hides variable,Variable w hides another variable of the same name (on [line 927](1)).,,LOW
c0346b3679532326:1,modules/speller/default/readonly_ws.cpp,1071,16,-1,20,cpp/declaration-hides-variable,Declaration hides variable,Variable prev hides another variable of the same name (on [line 1019](1)).,,LOW
eb668e31ce60ab8:1,modules/speller/default/readonly_ws.cpp,1135,16,-1,20,cpp/declaration-hides-variable,Declaration hides variable,Variable jump hides another variable of the same name (on [line 1129](1)).,,LOW
987b040d36ac973d:1,prog/compress.c,110,11,-1,12,cpp/declaration-hides-variable,Declaration hides variable,Variable c hides another variable of the same name (on [line 69](1)).,,LOW
b7845a6af38b26f:1,prog/aspell.cpp,2978,79,-1,82,cpp/declaration-hides-variable,Declaration hides variable,Variable els hides another variable of the same name (on [line 2902](1)).,,LOW
f69335e98538681e:1,prog/aspell.cpp,2373,12,-1,17,cpp/declaration-hides-variable,Declaration hides variable,Variable flags hides another variable of the same name (on [line 2361](1)).,,LOW
6cc5db31cb095fdf:1,prog/aspell.cpp,2435,16,-1,21,cpp/declaration-hides-variable,Declaration hides variable,Variable flags hides another variable of the same name (on [line 2361](1)).,,LOW
d326a4e50c2660f3:1,prog/aspell.cpp,2514,16,-1,21,cpp/declaration-hides-variable,Declaration hides variable,Variable flags hides another variable of the same name (on [line 2361](1)).,,LOW
bc18b74250e4d61b:1,prog/aspell.cpp,2708,25,-1,32,cpp/declaration-hides-variable,Declaration hides variable,Variable working hides another variable of the same name (on [line 2562](1)).,,LOW
4ec9ddc6d2ae57e6:1,prog/aspell.cpp,2709,14,-1,19,cpp/declaration-hides-variable,Declaration hides variable,Variable flags hides another variable of the same name (on [line 2361](1)).,,LOW
a9c81bf7be03e179:1,prog/aspell.cpp,1146,22,-1,25,cpp/declaration-hides-variable,Declaration hides variable,Variable ret hides another variable of the same name (on [line 1003](1)).,,LOW
e47fdb06c7cfa5bf:1,prog/aspell.cpp,835,55,-1,58,cpp/declaration-hides-variable,Declaration hides variable,Variable ret hides another variable of the same name (on [line 717](1)).,,LOW
6b48ec1669d86b4a:1,prog/aspell.cpp,377,12,-1,13,cpp/declaration-hides-variable,Declaration hides variable,Variable i hides another variable of the same name (on [line 267](1)).,,LOW
6ec8fc2cc108241a:1,prog/check_funs.cpp,338,9,-1,14,cpp/local-variable-hides-global-variable,Local variable hides global variable,Local variable max_x hides a [global variable](1) with the same name.,,LOW
ecdfb6c7637b731a:1,prog/check_funs.cpp,339,9,-1,14,cpp/local-variable-hides-global-variable,Local variable hides global variable,Local variable end_x hides a [global variable](1) with the same name.,,LOW
e26895f68faf60f0:1,modules/filter/sgml.cpp,173,23,391,6,cpp/complex-block,Block with too many statements,Block with too many statements (5 complex statements in the block).,,LOW
b5256fdbbb057f56:1,common/config.hpp,64,21,-1,27,cpp/unused-static-variable,Unused static variable,Static variable INSERT is never read.,CWE-563,LOW
977c2edf3263bd9:1,common/config.hpp,63,21,-1,28,cpp/unused-static-variable,Unused static variable,Static variable REPLACE is never read.,CWE-563,LOW
1d7c420fb120bedc:1,common/errors.hpp,188,34,-1,52,cpp/unused-static-variable,Unused static variable,Static variable invalid_expression is never read.,CWE-563,LOW
