location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
59a2e6683639585023265aee2556a3ac4f85dd2e95d3f64428c6f21cc5e193c7,lib/new_fmode.cpp,231,12,-1,39,FF1040,misc/fopen,"misc/fopen:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
cb7a370c8575e6da0affc5869f874bf699e558bf2d44ec226dadfae0e42663df,lib/new_fmode.cpp,395,7,-1,26,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
80ad4f7aefa295fa1cee8e2fec92668a664a7c0ffde9a4e692d36efd29444104,lib/new_fmode.cpp,412,22,-1,63,FF1070,input/fread,input/fread:Function accepts input from outside program (CWE-20).,CWE-20,LOW
743f04ac666294e2d8a4e270718241e5864d8112093ec998a816f20cf8513563,lib/new_fmode.cpp,586,26,-1,57,FF1040,misc/fopen,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
bdefa97de6e9228be3f31db2bc4955a3a17d1f3e5d86ef1601334115d3177678,lib/new_fmode.cpp,675,15,-1,34,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
013d9098471b4a55effb6ade5a132e285eb66495602216ff81bb9c9f7cbae434,lib/new_fmode.cpp,676,15,-1,80,FF1015,buffer/sprintf,buffer/sprintf:Does not check for buffer overflows (CWE-120).,CWE-120,LOW
bdefa97de6e9228be3f31db2bc4955a3a17d1f3e5d86ef1601334115d3177678,lib/new_fmode.cpp,693,15,-1,34,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
013d9098471b4a55effb6ade5a132e285eb66495602216ff81bb9c9f7cbae434,lib/new_fmode.cpp,694,15,-1,80,FF1015,buffer/sprintf,buffer/sprintf:Does not check for buffer overflows (CWE-120).,CWE-120,LOW
bdefa97de6e9228be3f31db2bc4955a3a17d1f3e5d86ef1601334115d3177678,lib/new_fmode.cpp,728,11,-1,30,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
e85db2899e989352c89e2d0c1c26fd295674a543d096d8043b31ada5e0920dd5,lib/new_fmode.cpp,729,11,-1,80,FF1015,buffer/sprintf,buffer/sprintf:Does not check for buffer overflows (CWE-120).,CWE-120,LOW
e85db2899e989352c89e2d0c1c26fd295674a543d096d8043b31ada5e0920dd5,lib/new_fmode.cpp,729,54,-1,80,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
5a3486b62ce8ea9ece819c8b5fed4dff86b97b73881c61817c854a0a55816daf,lib/new_filter.cpp,266,24,-1,47,FF1040,misc/fopen,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
553088f3c18b026ff0306a19a1f04d1ba7570ec08eb6697499aa2f907c02d671,lib/new_filter.cpp,300,9,-1,29,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
