location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_in_target_file,warning_in_target_function,warning_in_target_code_block,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
1adcce1ad4c59cc77c1eebe8a1cb220bdb8c24b0cb229ef18069c4f94b2aa20a,common/config.cpp,73,9,-1,46,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
783ea9fed0ed7987ec147468a6583ee207f2624c16af4928f22ef4af94754ea7,common/config.cpp,383,12,-1,30,True,False,False,FF1047,integer/atoi,"integer/atoi:Unless checked, the resulting number can exceed the expected range (CWE-190).",CWE-190,LOW
3e3d314548888a928af595cde408551ced7a3b43ca51270127d734cb3b6b7b4c,common/config.cpp,534,25,-1,61,True,False,False,FF1053,buffer/getenv,"buffer/getenv:Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).","CWE-807,CWE-20",MEDIUM
ffca6ca636e61375a6782263fe8e369a79fe8873461ed14243b833590cc0fdb2,common/config.cpp,535,25,-1,54,True,False,False,FF1053,buffer/getenv,"buffer/getenv:Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).","CWE-807,CWE-20",MEDIUM
ecd8bce39cdad0f07fe2b82a7e91896db391a012c35300dd8ad0ff44d06edc99,common/config.cpp,536,25,-1,58,True,False,False,FF1053,buffer/getenv,"buffer/getenv:Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).","CWE-807,CWE-20",MEDIUM
aec8891b7d23098ed09869dfcf676f31ccbed46cad7c9db7e3e5173186725623,common/config.cpp,653,25,-1,51,True,False,False,FF1053,buffer/getenv,"buffer/getenv:Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).","CWE-807,CWE-20",MEDIUM
360f44986644be67fa98826432de79d0926fa3960d928b7fbb0dfbafd4a94a78,common/config.cpp,718,5,-1,33,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
937084ac01ba3307e76706d867903a6a9959a910c72adc05b7eb5b77a0733218,common/config.cpp,720,11,-1,23,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
37710a0e1bc24e2f82f3e05c95b01e97be543afc20bb36aee9d0a9aee4f840e2,common/config.cpp,993,13,-1,64,True,False,False,FF1021,buffer/fscanf,"buffer/sscanf:The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
d7bb201dd2ea4555985fe19f4876a28bac2746107a7adc4a9792387f75d570ac,common/config.cpp,1125,18,-1,43,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
