location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
f43e93aa06553ffab39250a01d1fac6c,lib/urldata.h,766,8,766,8,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct connectdata' (44 padding bytes, where 4 is optimal). Optimal fields order: data, fclosesocket, closesocket_client, connection_id, dns_entry, ip_addr, secondaryhostname, port, primary_port, local_port, user, passwd, options, oauth_bearer, ssl_extra, timeoutms_per_addr, handler, given, ip_version, master_buffer, read_pos, buf_len, seek_func, seek_client, challenge_header, response_header, trailer, localdev, connect_state, bundle, unix_domain_socket, tempaddr, now, created, recv, send, connecttime, bundle_node, host, conn_to_host, send_pipe, recv_pipe, ntlm, proxyntlm, async, chunk, ssl, proxy_ssl, socks_proxy, http_proxy, ssl_config, proxy_ssl_config, allocptr, proto, scope_id, socktype, remote_port, conn_to_port, httpversion, rtspversion, num_addr, sockfd, writesockfd, ntlm_auth_hlpr_socket, ntlm_auth_hlpr_pid, trlMax, trlPos, cselect_bits, waitfor, localportrange, negnpn, sock, tempsock, secondary_port, localport, inuse, tls_upgraded, readchannel_inuse, writechannel_inuse, abstract_unix_socket, sock_accepted, bits, ip_addr_str, primary_ip, local_ip, syserr_buf, consider reordering the fields or adding explicit padding members",,LOW
b96d9b8a69b2e3a35447926f0a601843,lib/urldata.h,1206,8,1206,8,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct UrlState' (67 padding bytes, where 3 is optimal). Optimal fields order: conn_cache, lastconnect, headerbuff, headersize, buffer, current_speed, first_host, session, sessionage, scratch, prev_signal, resolver, engine, most_recent_ftp_entrypath, crlf_conversions, pathbuffer, path, range, resume_from, rtsp_next_client_CSeq, rtsp_next_server_CSeq, rtsp_CSeq_recv, infilesize, drain, fread_func, in, stream_depends_on, keeps_speed, expiretime, authhost, authproxy, timeoutlist, timenode, digest, proxydigest, tempwrite, expires, first_remote_port, tempcount, os_errno, httpversion, stream_weight, multi_owned_by_easy, this_is_a_follow, refused_stream, errorbuf, allow_port, authproblem, ftp_trying_alternative, wildcardmatch, expect100header, pipe_broke, prev_block_had_trailing_cr, slash_removed, use_range, rangestringalloc, done, stream_depends_e, uploadbuffer, consider reordering the fields or adding explicit padding members",,LOW
e1105485d537b2fca22f74dd8558eeba,lib/urldata.h,1454,8,1454,8,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct UserDefined' (112 padding bytes, where 0 is optimal). Optimal fields order: err, debugdata, errorbuffer, proxyport, out, in_set, writeheader, rtp_out, use_port, httpauth, proxyauth, socks5auth, followlocation, maxredirs, postfields, seek_func, postfieldsize, fwrite_func, fwrite_header, fwrite_rtp, fread_func_set, fprogress, fxferinfo, fdebug, ioctl_func, fsockopt, sockopt_client, fopensocket, opensocket_client, fclosesocket, closesocket_client, seek_client, convfromnetwork, convtonetwork, convfromutf8, progress_client, ioctl_client, timeout, connecttimeout, accepttimeout, happy_eyeballs_timeout, server_response_timeout, tftp_blksize, filesize, low_speed_limit, low_speed_time, max_send_speed, max_recv_speed, set_resume_from, headers, proxyheaders, httppost, quote, postquote, prequote, source_quote, source_prequote, source_postquote, telnet_options, resolve, connect_to, timevalue, httpversion, general_ssl, dns_cache_timeout, buffer_size, private_data, http200aliases, ipver, max_filesize, ssh_keyfunc, ssh_keyfunc_userp, ssh_auth_types, new_file_perms, new_directory_perms, allowed_protocols, redir_protocols, mail_rcpt, rtspversion, chunk_bgn, chunk_end, fnmatch, fnmatch_data, gssapi_delegation, tcp_keepidle, tcp_keepintvl, maxconnects, expect_100_timeout, stream_depends_on, stream_dependents, resolver_start, resolver_start_client, ssl, proxy_ssl, mimepost, str, keep_post, localportrange, is_fread_set, is_fwrite_set, timecondition, httpreq, proxytype, ftp_filemethod, ftp_create_missing_dirs, use_netrc, use_ssl, ftpsslauth, ftp_ccc, scope_id, rtspreq, stream_weight, localport, free_referer, tftp_no_options, sep_headers, cookiesession, crlf, strip_path_slash, ssh_compression, printhost, get_filetime, tunnel_thru_httpproxy, prefer_ascii, ftp_append, ftp_list_only, ftp_use_port, hide_progress, http_fail_on_error, http_keep_sending_on_error, http_follow_location, http_transfer_encoding, allow_auth_to_other_hosts, include_header, http_set_referer, http_auto_referer, opt_no_body, upload, verbose, krb, reuse_forbid, reuse_fresh, ftp_use_epsv, ftp_use_eprt, ftp_use_pret, no_signal, global_dns_cache, tcp_nodelay, ignorecl, ftp_skip_ip, connect_only, http_te_skip, http_ce_skip, proxy_transfer_mode, sasl_ir, wildcard_enabled, tcp_keepalive, tcp_fastopen, ssl_enable_npn, ssl_enable_alpn, path_as_is, pipewait, suppress_connect_headers, dns_shuffle_addresses, stream_depends_e, haproxyprotocol, abstract_unix_socket, consider reordering the fields or adding explicit padding members",,LOW
f656f12b44bcedc1cc9853a2f5982388,lib/content_encoding.c,482,7,482,7,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
619bba528b85e835f1a29b177c0ae779,lib/content_encoding.c,505,5,505,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
4d669434b479fe6549eb657a94cea9f7,lib/content_encoding.c,775,9,775,9,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
7e27827edbd7229f397e25e7f970308d,lib/dotdot.c,175,5,175,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
f43e93aa06553ffab39250a01d1fac6c,lib/urldata.h,766,8,766,8,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct connectdata' (44 padding bytes, where 4 is optimal). Optimal fields order: data, fclosesocket, closesocket_client, connection_id, dns_entry, ip_addr, secondaryhostname, port, primary_port, local_port, user, passwd, options, oauth_bearer, ssl_extra, timeoutms_per_addr, handler, given, ip_version, master_buffer, read_pos, buf_len, seek_func, seek_client, challenge_header, response_header, trailer, localdev, connect_state, bundle, unix_domain_socket, tempaddr, now, created, recv, send, connecttime, bundle_node, host, conn_to_host, send_pipe, recv_pipe, ntlm, proxyntlm, async, chunk, ssl, proxy_ssl, socks_proxy, http_proxy, ssl_config, proxy_ssl_config, allocptr, proto, scope_id, socktype, remote_port, conn_to_port, httpversion, rtspversion, num_addr, sockfd, writesockfd, ntlm_auth_hlpr_socket, ntlm_auth_hlpr_pid, trlMax, trlPos, cselect_bits, waitfor, localportrange, negnpn, sock, tempsock, secondary_port, localport, inuse, tls_upgraded, readchannel_inuse, writechannel_inuse, abstract_unix_socket, sock_accepted, bits, ip_addr_str, primary_ip, local_ip, syserr_buf, consider reordering the fields or adding explicit padding members",,LOW
b96d9b8a69b2e3a35447926f0a601843,lib/urldata.h,1206,8,1206,8,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct UrlState' (67 padding bytes, where 3 is optimal). Optimal fields order: conn_cache, lastconnect, headerbuff, headersize, buffer, current_speed, first_host, session, sessionage, scratch, prev_signal, resolver, engine, most_recent_ftp_entrypath, crlf_conversions, pathbuffer, path, range, resume_from, rtsp_next_client_CSeq, rtsp_next_server_CSeq, rtsp_CSeq_recv, infilesize, drain, fread_func, in, stream_depends_on, keeps_speed, expiretime, authhost, authproxy, timeoutlist, timenode, digest, proxydigest, tempwrite, expires, first_remote_port, tempcount, os_errno, httpversion, stream_weight, multi_owned_by_easy, this_is_a_follow, refused_stream, errorbuf, allow_port, authproblem, ftp_trying_alternative, wildcardmatch, expect100header, pipe_broke, prev_block_had_trailing_cr, slash_removed, use_range, rangestringalloc, done, stream_depends_e, uploadbuffer, consider reordering the fields or adding explicit padding members",,LOW
e1105485d537b2fca22f74dd8558eeba,lib/urldata.h,1454,8,1454,8,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct UserDefined' (112 padding bytes, where 0 is optimal). Optimal fields order: err, debugdata, errorbuffer, proxyport, out, in_set, writeheader, rtp_out, use_port, httpauth, proxyauth, socks5auth, followlocation, maxredirs, postfields, seek_func, postfieldsize, fwrite_func, fwrite_header, fwrite_rtp, fread_func_set, fprogress, fxferinfo, fdebug, ioctl_func, fsockopt, sockopt_client, fopensocket, opensocket_client, fclosesocket, closesocket_client, seek_client, convfromnetwork, convtonetwork, convfromutf8, progress_client, ioctl_client, timeout, connecttimeout, accepttimeout, happy_eyeballs_timeout, server_response_timeout, tftp_blksize, filesize, low_speed_limit, low_speed_time, max_send_speed, max_recv_speed, set_resume_from, headers, proxyheaders, httppost, quote, postquote, prequote, source_quote, source_prequote, source_postquote, telnet_options, resolve, connect_to, timevalue, httpversion, general_ssl, dns_cache_timeout, buffer_size, private_data, http200aliases, ipver, max_filesize, ssh_keyfunc, ssh_keyfunc_userp, ssh_auth_types, new_file_perms, new_directory_perms, allowed_protocols, redir_protocols, mail_rcpt, rtspversion, chunk_bgn, chunk_end, fnmatch, fnmatch_data, gssapi_delegation, tcp_keepidle, tcp_keepintvl, maxconnects, expect_100_timeout, stream_depends_on, stream_dependents, resolver_start, resolver_start_client, ssl, proxy_ssl, mimepost, str, keep_post, localportrange, is_fread_set, is_fwrite_set, timecondition, httpreq, proxytype, ftp_filemethod, ftp_create_missing_dirs, use_netrc, use_ssl, ftpsslauth, ftp_ccc, scope_id, rtspreq, stream_weight, localport, free_referer, tftp_no_options, sep_headers, cookiesession, crlf, strip_path_slash, ssh_compression, printhost, get_filetime, tunnel_thru_httpproxy, prefer_ascii, ftp_append, ftp_list_only, ftp_use_port, hide_progress, http_fail_on_error, http_keep_sending_on_error, http_follow_location, http_transfer_encoding, allow_auth_to_other_hosts, include_header, http_set_referer, http_auto_referer, opt_no_body, upload, verbose, krb, reuse_forbid, reuse_fresh, ftp_use_epsv, ftp_use_eprt, ftp_use_pret, no_signal, global_dns_cache, tcp_nodelay, ignorecl, ftp_skip_ip, connect_only, http_te_skip, http_ce_skip, proxy_transfer_mode, sasl_ir, wildcard_enabled, tcp_keepalive, tcp_fastopen, ssl_enable_npn, ssl_enable_alpn, path_as_is, pipewait, suppress_connect_headers, dns_shuffle_addresses, stream_depends_e, haproxyprotocol, abstract_unix_socket, consider reordering the fields or adding explicit padding members",,LOW
