location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
8a73b7100c005840884ef3a1b38d1444dc8ea1d829e21582ea9b09da2c2efa2b,src/tool_formparse.c,129,3,-1,50,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
932e6918b07ce02ff64b4bfda0e7ca4c29d0aadb49e33e915cb1620242eea0d2,src/tool_formparse.c,132,9,-1,18,FF1029,buffer/getc,"buffer/getc:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
f4b230682910bd299940831dcc561d4cee39d47fb5b4a7f49f737cefbb3e3535,src/tool_formparse.c,140,11,-1,42,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
f4b230682910bd299940831dcc561d4cee39d47fb5b4a7f49f737cefbb3e3535,src/tool_formparse.c,151,9,-1,40,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
6273eb667aee6c779a96d5486d79b35a34fcaf44a164ca3f1938bf0f7f51fcea,src/tool_formparse.c,195,3,-1,29,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
89c469d084db257aae7187bc03096240f7de3ce27eecee79deab59b717db690f,src/tool_formparse.c,196,3,-1,29,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
0ac24103b24af3b2bb2170f0978664fd06f236bbb484d66fd2901720711fbb71,src/tool_formparse.c,229,15,-1,80,FF1021,buffer/sscanf,"buffer/sscanf:The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
25207b7be068eaa702556603fcac4b7b0421fdf49d2484f667f079b04bb23127,src/tool_formparse.c,236,18,-1,62,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
25207b7be068eaa702556603fcac4b7b0421fdf49d2484f667f079b04bb23127,src/tool_formparse.c,236,39,-1,62,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
43ca75df86547f75df0911ffe8d0f7147b9194c71f28f46c52b5b1e2093a8b9b,src/tool_formparse.c,281,14,-1,45,FF1040,misc/fopen,"misc/fopen:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
a79a2a3f6b5d1b1cd483308a5d534802a8c141d7cd6707fa5aee1506d78ef477,src/tool_formparse.c,309,11,-1,80,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
7da00779f915d07df25fe5a5d947fc377cda3f161bbd2f79a3e35f259c40a23c,src/tool_formparse.c,397,5,-1,62,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
997e8b0b25b7588512cad507e5ffd548f11badcefd573c88d2e019856e7a54fe,src/tool_formparse.c,401,14,-1,46,FF1070,input/fread,input/fread:Function accepts input from outside program (CWE-20).,CWE-20,LOW
64021888cc827d3f8a88760e6d139e597dce607f6b8ddbfd4619a95b71aff95a,src/tool_formparse.c,581,5,-1,56,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
05526e1769c7e080266fdb926efe72db536b2d0f79b6c724be8c1046e48758eb,src/tool_formparse.c,812,37,-1,53,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
b090218ab41591eaa485d41f635e5b1d4e1b6f087cd4f938702beeb5617f3c5f,src/tool_urlglob.c,56,3,-1,52,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
c1d9b8a241e787c02f3aaf61564af80f1db22d380bdc6e56cc3ebb668b4cb4a9,src/tool_urlglob.c,200,10,-1,61,FF1021,buffer/sscanf,"buffer/sscanf:The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
e90cb3afa56d6fc7b78ba3f2a30d288db01775ca0632a03397f1476054ac6069,src/tool_urlglob.c,375,11,-1,38,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
d088a663c2b0703d29d1ff30143dff2224d8c3ff217600329557218fb00b4d8e,src/tool_urlglob.c,446,24,-1,41,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
0bbc417da6afeefea873791b97cbf6060bcfccbc48ea9e1af6794b7db5953519,src/tool_urlglob.c,456,25,-1,37,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
5a55c0cfd94acd5c6e864176a48c18dcf07cfe2b3162ba0e17cd24c7cdef73c5,src/tool_urlglob.c,464,7,-1,22,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
