location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_in_target_file,warning_in_target_function,warning_in_target_code_block,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
89b7372b877d9cc73bbc275767ea3d01ee232232b2612ee500323de6a0ed5bbf,lib/transfer.c,96,20,-1,39,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
4ecfbbf055619ac3f7e78bfd26a52dcf1db2c7cd2cb4dcd0d0070827e3728ffe,lib/transfer.c,193,5,-1,24,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
bf4a1c986628814cd16b41d2b676ba8bd92ae4aa8eabb9f962e8b4c71b2e22d9,lib/transfer.c,211,14,-1,52,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
e0b8d190cd30dbf1caee97b46e0364a6180496447e9cea4c257614170dfff2c1,lib/transfer.c,219,5,-1,58,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
8bbdc4273c257c582f430f341e7d6ed0f357cb2dab3b575df293267d8bad3933,lib/transfer.c,222,5,-1,46,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
8df5401b75744335b81d315a93fb90d226af01bfd91bdb3d7d9ba383ec6e6af7,lib/transfer.c,224,12,-1,39,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
c5a613b3174271fa689d8f8a95781647a8bbffad371ba0420ed1f8c077c0afc4,lib/transfer.c,235,23,-1,41,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
ed3ccf5b077240546feaa53f744be2be4a9685daa1cfbe105ebaceb723171713,lib/transfer.c,250,19,-1,76,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
4a341778ece5abb2538c898bde99fac5660869385c4f89fc9a484774fd85593c,lib/transfer.c,335,56,-1,64,True,False,False,FF1070,input/fread,input/fread:Function accepts input from outside program (CWE-20).,CWE-20,LOW
5581c8c23124ed8b4bafb5fdba4662b050725769a70869744d1327e3b9d3be3c,lib/transfer.c,379,5,-1,23,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
c075881412762383b6421c8633997b461adc910ce6ad74f9821ae521f970c70d,lib/transfer.c,384,7,-1,63,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
6015d8e4b796f66ba442006ef472a537ad5834dcf58d95b2708877c23a3b5848,lib/transfer.c,1350,44,-1,73,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
9fe8bee0a5cddecfac7e876b8baf83fe7d4d7ee7055bae3ef54ebe883d09677d,lib/transfer.c,1441,17,-1,29,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
a0a3deb884a263bee3ac37cc5d070637b475fcd47c18e58d6aeeec9bf021b6eb,lib/transfer.c,1444,19,-1,31,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
701e61a69ca65bfc38fa5769839a00cf59e36afbd7189de80372173e69deed72,lib/transfer.c,1523,9,-1,44,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
4ed1c0ac3d2b11e556ae53fb84f14ff4d219bac41d894b65e152c93f0abc7961,lib/transfer.c,1549,3,-1,51,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
a7cb91409dbdb70e8beb258b9a1dd6586b0954e2644e3dde6b1e6c1712a713eb,lib/transfer.c,1552,16,-1,78,True,False,False,FF1021,buffer/sscanf,"buffer/sscanf:The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
4d329882ebd46778c235efc1ce635b12d7f08a1ac68430d8b7e27f8ef4f055be,lib/transfer.c,1687,12,-1,30,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
1a9df9cfa9496fb5923b33e80b1a84a2c96ca8cefe75acf8a57bc4f11d0e2367,lib/transfer.c,1698,3,-1,37,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
