location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
c518d64f7de25300e9e0f79c0003d78d,/usr/include/x86_64-linux-gnu/bits/string_fortified.h,90,10,90,10,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
7024aca43649b46893509e49a5845275,/usr/include/x86_64-linux-gnu/bits/string_fortified.h,128,10,128,10,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcat' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcat'. CWE-119,,MEDIUM
97887b0127619a65f29f222480bcfdaf,include/exiv2/tags.hpp,223,17,223,17,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct Exiv2::TagInfo' (8 padding bytes, where 0 is optimal). Optimal fields order: name_, title_, desc_, printFct_, ifdId_, sectionId_, typeId_, tag_, count_, consider reordering the fields or adding explicit padding members",,LOW
09fbffb5fcc4fcaad5903f00e0e544a7,src/psdimage.cpp,508,5,508,5,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'iptcDone' is never read,CWE-710,LOW
fe4fe1593c8421050bfaf357e1b0c572,src/preview.cpp,367,13,367,13,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'LoaderNative::getData' during construction bypasses virtual dispatch,CWE-710,MEDIUM
680cd55ce900eb673760c5ba1bef49e0,src/makernote_int.cpp,174,3,174,3,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'OlympusMnHeader::read' during construction bypasses virtual dispatch,CWE-710,MEDIUM
60a5e2ad28b05045b42ca7eaef3de670,src/makernote_int.cpp,205,3,205,3,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'Olympus2MnHeader::read' during construction bypasses virtual dispatch,CWE-710,MEDIUM
b9a8f4d45d261509001e4d5a20834e8c,src/makernote_int.cpp,241,3,241,3,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'OMSystemMnHeader::read' during construction bypasses virtual dispatch,CWE-710,MEDIUM
2ac72ef125f6f2ff980b01e8f6833325,src/makernote_int.cpp,277,3,277,3,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'FujiMnHeader::read' during construction bypasses virtual dispatch,CWE-710,MEDIUM
a34d34b97754b711d2eaac851d618d00,src/makernote_int.cpp,319,3,319,3,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'Nikon2MnHeader::read' during construction bypasses virtual dispatch,CWE-710,MEDIUM
