location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
91c6d4d931c8d4e2:1,src/fff.h,55,14,-1,15,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
a7af9478426b66ba:1,src/exif.cpp,248,12,-1,32,cpp/assignment-does-not-return-this,Overloaded assignment does not return 'this',Assignment operator in class Exifdatum does not return a reference to *this.,,MEDIUM
e44f8d1d65edcae4:1,src/exif.cpp,244,12,-1,32,cpp/assignment-does-not-return-this,Overloaded assignment does not return 'this',Assignment operator in class Exifdatum does not return a reference to *this.,,MEDIUM
2e747bd08d9d12b6:1,src/exif.cpp,240,12,-1,32,cpp/assignment-does-not-return-this,Overloaded assignment does not return 'this',Assignment operator in class Exifdatum does not return a reference to *this.,,MEDIUM
96f83b6c79182512:1,src/exif.cpp,236,12,-1,32,cpp/assignment-does-not-return-this,Overloaded assignment does not return 'this',Assignment operator in class Exifdatum does not return a reference to *this.,,MEDIUM
358d39a653d9f67c:1,src/exif.cpp,232,12,-1,32,cpp/assignment-does-not-return-this,Overloaded assignment does not return 'this',Assignment operator in class Exifdatum does not return a reference to *this.,,MEDIUM
8a95246ce638a566:1,src/exif.cpp,228,12,-1,32,cpp/assignment-does-not-return-this,Overloaded assignment does not return 'this',Assignment operator in class Exifdatum does not return a reference to *this.,,MEDIUM
eda20b66a6860071:1,app/getopt.cpp,82,5,-1,19,cpp/array-in-interface,No raw arrays in interfaces,Raw arrays should not be used in interfaces. A container class should be used instead.,,LOW
a14e29c309e6961e:1,app/exiv2.cpp,995,5,-1,19,cpp/array-in-interface,No raw arrays in interfaces,Raw arrays should not be used in interfaces. A container class should be used instead.,,LOW
83d52304b8066a5:1,src/value.cpp,177,3,-1,7,cpp/virtual-call-in-constructor,Virtual call from constructor or destructor,"Call to virtual function [read](1) which is overridden in [CommentValue](2). If you intend to statically call this virtual function, it should be qualified with StringValueBase::.
Call to virtual function [read](1) which is overridden in [AsciiValue](3). If you intend to statically call this virtual function, it should be qualified with StringValueBase::.",,MEDIUM
f317e55bcb9f0946:1,xmpsdk/include/XMP.incl_cpp,52,5,-1,46,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
6af27195618aeb11:1,xmpsdk/include/XMP.incl_cpp,51,5,-1,49,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
ef60fb9a11dcca7e:1,xmpsdk/include/XMP.incl_cpp,50,5,-1,45,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
c3094292e1e2e8d1:1,src/xmp.cpp,23,-1,-1,24,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
3f71c280dcd2a0e2:1,xmpsdk/src/XMPMeta-GetSet.cpp,20,-1,-1,35,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
3f71c280dcd2a0e2:1,xmpsdk/src/XMPMeta-Parse.cpp,18,-1,-1,35,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
b75688b05212886:1,xmpsdk/src/XMPCore_Impl.cpp,14,-1,-1,35,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
5b82db82c18e6fe4:1,xmpsdk/src/XMPMeta-Serialize.cpp,17,-1,-1,35,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
17967b2579f398c0:1,xmpsdk/src/XMPMeta.cpp,21,-1,-1,35,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
816e72e1c0b4c236:1,src/enforce.hpp,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
60d3f42a9ca50ff7:1,xmpsdk/include/client-glue/WXMPIterator.hpp,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
a8d4821cc63feea1:1,xmpsdk/include/client-glue/WXMPMeta.hpp,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
dff0ff3cdb758edd:1,xmpsdk/include/client-glue/WXMP_Common.hpp,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
57eeaeb53c9e6baf:1,xmpsdk/include/client-glue/WXMPUtils.hpp,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
d01e5ab9ab9f82c5:1,app/exiv2.cpp,1450,7,-1,8,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
704b87ec064c66a0:1,app/exiv2.cpp,1469,15,-1,16,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
30a98bb1655a407d:1,app/exiv2.cpp,1484,13,-1,14,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
58834ef7179810ca:1,app/exiv2.cpp,1219,7,-1,8,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
6698d8e158f041e5:1,app/exiv2.cpp,1186,11,-1,12,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
e05a9b8d8db9ea0:1,xmpsdk/src/XMPMeta-Parse.cpp,1010,5,-1,12,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
266accce11041332:1,xmpsdk/src/XMPMeta-Parse.cpp,1058,5,-1,12,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
9ad1fcabff3a385c:1,xmpsdk/src/XMPCore_Impl.cpp,318,6,-1,13,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
22b81d4613b3d9e:1,src/bmffimage.cpp,234,3,476,4,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [1768714083 (51 lines)](1).,,LOW
4d8aa8281eabbd06:1,app/exiv2.cpp,1452,5,1503,6,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [117 (34 lines)](1).,,LOW
