location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
2917b8d720dbba8dd6b772be800c463550f0078557d2a1428c875941baf45f83,src/readcdf.c,95,15,-1,21,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
23804ba4bc5cf599e9dd0e8772a7b0282c97b9c3ac39a076f6210fc7a3e56b2c,src/readcdf.c,104,2,-1,70,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
562f4fd355ab7dcf6ec3e5363cbf302f630a6c20b6d16290a884c3297eaa4f18,src/readcdf.c,135,2,-1,44,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
465eabb0806860179ab2df61dda647bce326eb7218231f8bbb69a8f322b93fff,src/readcdf.c,154,2,-1,15,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
ca4961a516291a1948cad919120dc3440c35899246d4c3250f1749eb468d4b0a,src/readcdf.c,197,5,-1,21,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
1a6728bf120027370b2459d2ee63a47b4238f117f9060419703e16903555cf6d,src/readcdf.c,229,5,-1,19,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
86753089edd8e96675f0102bc52bd39c8f2c94e4f63e4a6e6052dfa82d40f6a3,src/readcdf.c,271,2,-1,16,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
aa498d907533d51ad50ce876c730e38c0962155b904f38cb2fec5c5ec1d80e28,src/readcdf.c,355,9,-1,15,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
aa82fef9e19f9589ab7ef01bff2298ad5118ad860dca4ebb0f22644646b64758,src/readcdf.c,356,14,-1,62,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
2a93089872f84bc2e0d519a28769e395db9b597639fd7e815eb4f065f43946bd,src/readcdf.c,357,2,-1,68,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,HIGH
2189d19d7498790f97ce2e4dd0968408da34af495155ebd88ece94a2168dd7a8,src/readcdf.c,395,2,-1,37,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
fc111210b7a08f88ea38850288a6d707d7d6213b003820bbf598dbccc09714c0,src/readcdf.c,437,8,-1,26,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
20c3de690f9dc6ddaa423d148d738e448127ca6ea610d6debbc732e8d6d9fb47,src/readcdf.c,523,4,-1,56,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
4330a70ede1dacc98333a8a41d4b1ca4e6bc98390bd951d632afe976184dc8a0,src/readcdf.c,599,4,-1,21,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
3c449945a530b55b96a42ce1c946f29ea00b76074b9cd654e6090e4abf1c7c71,src/cdf.c,63,20,-1,44,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,HIGH
bcb76bd281e1fe722499d8cc4ee56d41a67703e8d3cac822b2bc53f1c3a25eac,src/cdf.c,69,2,-1,12,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
23d20c04ce7c410d0a37f307882f971854190bd886d50f4ad66f7b08b879d0ad,src/cdf.c,186,11,-1,63,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
33b00a0425dfa332012d73aaee06ca105ef03629a21f1e9289c764f5ea39cf7c,src/cdf.c,188,11,-1,62,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
7d6adc8f7c019755fb29f21bda76bf89da308420ad563c39dd0ced4c9e382300,src/cdf.c,358,9,-1,45,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
657ff8329591453022e3359353e72b30b702c62cf6567d962d837e05e108b31a,src/cdf.c,377,2,-1,16,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
f8157d8fbb52e53e6561071a359eb0c77ed76ad3e193845def8a11bb40b0397f,src/cdf.c,379,8,-1,44,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
b279a61908e62b5ab29a68e4069d9e26ed54489b30f66c54dab773edbb5dd67e,src/cdf.c,440,8,-1,41,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
712c96aacd4d6ebd005128f261dc7c2e4a08fc5a7652c4d091f339e407cc8db3,src/cdf.c,861,23,-1,40,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
6ef67ae54faa9d0a92d4510563efbb19a0365bf963aad47f47432e9c3d9d9645,src/cdf.c,952,8,-1,37,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
3ef83ecd561849212dda4d1d70bacb15c7a0cc99acbb3527dd73a053f2662105,src/cdf.c,1236,9,-1,57,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
01d5b03fc5727dd0cc1878d0d2f74e348626f27ef70656d1b553af57e21cb0a9,src/cdf.c,1276,11,-1,48,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
04ec9dd9164f848a6d6b92f609382523f952440250421d2ab0e006f3257731d5,src/cdf.c,1277,9,-1,41,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
215b41d2217ab463fec12c9b306331929e1f8f31f14a9ed48d66c7d6e727e043,src/cdf.c,1296,10,-1,58,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
