location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_in_target_file,warning_in_target_function,warning_in_target_code_block,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
452f26da90b9e634ea3c4c37c490ac6580cd567411be91c210022649882ec7d0,src/funcs.c,85,3,-1,59,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
fd92cddc49d5f89498bbf9314401428966c85ee14fbbb6feb137a4a8bca69b1f,src/funcs.c,103,5,-1,52,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
05e8daaecc168525a20f5c9514040724da040cefb63bba5aad291f250245af33,src/funcs.c,118,5,-1,52,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
019ae6530a6835ca71ddba8a481ce143f17b476120ee87bddaa2fc73b9da2b08,src/funcs.c,133,2,-1,18,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
02c39f176ff0cd2a6f00b0b2356aa66163cbf92e90a52ac4c7cba1fabb6bb808,src/funcs.c,262,13,-1,31,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
5f331642e250bb8f82b3710c24f5f1cdefb861063345af5e7e1925507490f7f3,src/funcs.c,344,10,-1,55,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
773eb1c65f3bd757d726649168059b5074838675640676d3fb6cd325ec33f81b,src/funcs.c,360,10,-1,50,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
1bc122689c1d2e38d578e88e7c768892480851c0487e6678cc731c1eb6ce6be8,src/funcs.c,370,10,-1,47,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
8c5487f16eb5c93381bb2795e851dd8f1b04a58697e88e4f80f6921993b568c3,src/funcs.c,381,10,-1,48,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
fd6e5655771311058dfb3f9b6894b71a8d460e9c763f1cbd62daa4b6ac336995,src/funcs.c,392,10,-1,47,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
4cfc87b2ad9467a1252c3db290f6c6be1ac13189cfae0a99723ce9cae37b0124,src/funcs.c,403,10,-1,47,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
a2fc41dfa3c3e766a4752c984771750ed16473f46bbf9ae2f6b0fde8f2fa02fe,src/funcs.c,432,10,-1,47,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
fac3e36fbec86213ad37d0338534ce07df3ad4b38d259d15cddcdfb29b0ca102,src/funcs.c,440,10,-1,53,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
58e26051d3cbc4dbd1c4d69b2178b2814643e5b2ca0e1ce2dc2f994931f598db,src/funcs.c,456,10,-1,52,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
f7090d6556e37f688d8a496d0b0a07520ee46412e0e792607574decf64bac9cc,src/funcs.c,533,8,-1,26,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
81016b7b0af910c3867285026c918cc07f51e11ff7a356067458607bcade364d,src/funcs.c,568,11,-1,41,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
77a09d0c275fdbddc73d5111f697dcac2b09cf2dd135dd786c1bd64f21e2faab,src/funcs.c,698,2,-1,19,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
bae2dde1181f291e244ffb3858ddb868ffb2984b10d93c195d77699b945e84d3,src/funcs.c,785,9,-1,18,True,False,False,FF1021,buffer/sscanf,"buffer/sscanf:The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
ac40c6d4aa78b2926113b8954db36ca38152bf6d98cd2aa2f552d899b943e501,src/funcs.c,798,9,-1,60,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
