location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
df1b721e1ac02e9e092669178fa3c529,/usr/include/c++/9/bits/atomic_base.h,207,20,207,20,deadcode.DeadStores,deadcode.DeadStores,Value stored to '__b' during its initialization is never read,CWE-710,LOW
b5dc4704615c909088d806dd9e70f1b8,/usr/include/c++/9/bits/atomic_base.h,218,20,218,20,deadcode.DeadStores,deadcode.DeadStores,Value stored to '__b' during its initialization is never read,CWE-710,LOW
755e3fa7386906f4b8e0c72606f06dcc,src/include/spdlog/fmt/bundled/format-inl.h,414,36,414,36,core.uninitialized.Assign,core.uninitialized.Assign,Assigned value is garbage or undefined,CWE-664,HIGH
1473a439c4d4c702193a2ff9caf4f3ac,src/lib/jp2/grok.h,439,16,439,16,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct _grk_cparameters' (47 padding bytes, where 7 is optimal). Optimal fields order: cp_num_comments, mct_data, max_cs_size, capture_resolution_from_file, capture_resolution, display_resolution, raw_cp, tcp_rates, tcp_distoratio, cp_comment, POC, tx0, ty0, t_width, t_height, prog_order, numpocs, cblockw_init, cblockh_init, roi_compno, roi_shift, res_spec, image_offset_x0, image_offset_y0, subsampling_dx, subsampling_dy, decod_format, cod_format, max_comp_size, framerate, rateControlAlgorithm, numThreads, deviceId, duration, kernelBuildOptions, repeats, prcw_init, prch_init, tcp_numlayers, rsiz, cp_comment_len, tile_size_on, cp_disto_alloc, cp_fixed_quality, csty, numresolution, cblk_sty, isHT, irreversible, tp_on, tp_flag, tcp_mct, write_capture_resolution_from_file, write_capture_resolution, write_display_resolution, writePLT, writeTLM, verbose, cp_is_binary_comment, infile, outfile, consider reordering the fields or adding explicit padding members",,LOW
a95dbc87e7d4eb8c0bbf73c1ce08c6bb,/usr/lib/llvm-15/lib/clang/15.0.7/include/cetintrin.h,49,10,49,10,core.CallAndMessage,core.CallAndMessage,1st function call argument is an uninitialized value,CWE-710,HIGH
076fdab99b1790475cd59e47054be43f,/usr/lib/llvm-15/lib/clang/15.0.7/include/cetintrin.h,62,10,62,10,core.CallAndMessage,core.CallAndMessage,1st function call argument is an uninitialized value,CWE-710,HIGH
1473a439c4d4c702193a2ff9caf4f3ac,src/lib/jp2/grok.h,439,16,439,16,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct _grk_cparameters' (47 padding bytes, where 7 is optimal). Optimal fields order: cp_num_comments, mct_data, max_cs_size, capture_resolution_from_file, capture_resolution, display_resolution, raw_cp, tcp_rates, tcp_distoratio, cp_comment, POC, tx0, ty0, t_width, t_height, prog_order, numpocs, cblockw_init, cblockh_init, roi_compno, roi_shift, res_spec, image_offset_x0, image_offset_y0, subsampling_dx, subsampling_dy, decod_format, cod_format, max_comp_size, framerate, rateControlAlgorithm, numThreads, deviceId, duration, kernelBuildOptions, repeats, prcw_init, prch_init, tcp_numlayers, rsiz, cp_comment_len, tile_size_on, cp_disto_alloc, cp_fixed_quality, csty, numresolution, cblk_sty, isHT, irreversible, tp_on, tp_flag, tcp_mct, write_capture_resolution_from_file, write_capture_resolution, write_display_resolution, writePLT, writeTLM, verbose, cp_is_binary_comment, infile, outfile, consider reordering the fields or adding explicit padding members",,LOW
29e4c48eca9df4299a111269afb93c2e,src/include/tclap/Arg.h,462,61,462,61,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'Arg::toString' during construction bypasses virtual dispatch,CWE-710,MEDIUM
1a457244bb3aab8d1117a15ed7db01be,src/include/tclap/Arg.h,480,38,480,38,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'Arg::toString' during construction bypasses virtual dispatch,CWE-710,MEDIUM
b014490fb6f9325aeeffeecd30147cc9,src/include/tclap/CmdLine.h,347,5,347,5,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'CmdLine::add' during construction bypasses virtual dispatch,CWE-710,MEDIUM
