location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_in_target_file,warning_in_target_function,warning_in_target_code_block,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
1458d1846cd6d2e5:1,src/lib/jp2/codestream/PacketIter.cpp,1247,6,1369,7,True,False,False,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [80 (63 lines)](1).,,LOW
516ec2fed015c875:1,src/lib/jp2/codestream/PacketIter.cpp,934,3,-1,31,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
695fb36c7f0e701f:1,src/lib/jp2/codestream/PacketIter.cpp,933,3,-1,31,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
a6593ea90a879519:1,src/lib/jp2/t2/T2Decompress.cpp,510,2,511,30,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
8f69f5d4b7a70939:1,src/lib/jp2/t2/T2Decompress.cpp,500,4,-1,59,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
88d1cee24ae30026:1,src/lib/jp2/t2/T2Decompress.cpp,383,7,-1,44,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
ce34e095c1408850:1,src/lib/jp2/t2/T2Decompress.cpp,328,3,-1,38,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
74861934ed10f03:1,src/lib/jp2/t2/T2Decompress.cpp,269,4,-1,59,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
490e81867eed470d:1,src/lib/jp2/codestream/PacketIter.cpp,795,25,-1,33,True,False,False,cpp/constant-comparison,Comparison result is always the same,Comparison is always true because pos >= 0.,,MEDIUM
457188dfbddf8b6f:1,src/lib/jp2/t2/T2Decompress.cpp,667,31,-1,56,True,False,False,cpp/wrong-type-format-argument,Wrong type of arguments to formatting function,This format specifier for type 'unsigned int' does not match the argument type 'unsigned long'.,CWE-686,HIGH
457188dfbddf8b6f:1,src/lib/jp2/t2/T2Decompress.cpp,667,58,-1,64,True,False,False,cpp/wrong-type-format-argument,Wrong type of arguments to formatting function,This format specifier for type 'unsigned int' does not match the argument type 'unsigned long'.,CWE-686,HIGH
67c312ebd01e19d4:1,src/lib/jp2/t2/T2Decompress.cpp,668,14,-1,27,True,False,False,cpp/wrong-type-format-argument,Wrong type of arguments to formatting function,This format specifier for type 'unsigned int' does not match the argument type 'unsigned long'.,CWE-686,HIGH
821d434b2aefb2e:1,src/lib/jp2/t2/T2Decompress.cpp,278,23,-1,29,True,False,False,cpp/wrong-type-format-argument,Wrong type of arguments to formatting function,This format specifier for type 'unsigned int' does not match the argument type 'unsigned long'.,CWE-686,HIGH
faa11f7cec93d856:1,src/lib/jp2/t2/T2Decompress.cpp,140,18,-1,31,True,False,False,cpp/wrong-type-format-argument,Wrong type of arguments to formatting function,This format specifier for type 'int' does not match the argument type 'unsigned long'.,CWE-686,HIGH
d6b46acdf773f53c:1,src/lib/jp2/t2/T2Decompress.cpp,146,18,-1,31,True,False,False,cpp/wrong-type-format-argument,Wrong type of arguments to formatting function,This format specifier for type 'int' does not match the argument type 'unsigned long'.,CWE-686,HIGH
65aa6b1df6cb7445:1,src/lib/jp2/t2/T2Decompress.cpp,155,48,-1,61,True,False,False,cpp/wrong-type-format-argument,Wrong type of arguments to formatting function,This format specifier for type 'unsigned int' does not match the argument type 'unsigned long'.,CWE-686,HIGH
c263d37c2b023093:1,src/lib/jp2/codestream/PacketIter.cpp,1107,6,-1,36,True,False,False,cpp/poorly-documented-function,Poorly documented large function,Poorly documented function: fewer than 2% comments for a function of 268 lines.,,MEDIUM
