location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
7ae89ed1518b49892798b403cd7d62cfdc0ea8bbb63993e80e91a150c40bba72,src/include/spdlog/common.h,71,9,-1,141,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
65a7db43b244a869ce06109f20b871814aeaeb9715a2f152675880af4474879b,src/include/spdlog/cfg/env.h,30,33,-1,56,FF1053,buffer/getenv,"buffer/getenv:Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).","CWE-807,CWE-20",MEDIUM
165a77f889ae318acf9727e95b2d1b95053d4de60c72ffea513ca2227e9ec96a,src/include/spdlog/details/file_helper.h,25,10,-1,63,FF1040,misc/open,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
2dbd884adf42647542c4f0ccfff001695061137bc6bfdb65950536d1d3750359,src/include/spdlog/details/os.h,103,24,-1,50,FF1053,buffer/getenv,"buffer/getenv:Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).","CWE-807,CWE-20",MEDIUM
345b0f71e8589531298d45663d04ff2e7482a88002ce951ff5b5dc088f8d9773,src/include/spdlog/details/os-inl.h,145,22,-1,105,FF1040,misc/open,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
de509a4eba995692f80377540d970091725b8c10ca960af905388bd195da6307,src/include/spdlog/details/os-inl.h,156,13,-1,53,FF1040,misc/open,"misc/fopen:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
7d926ae87b595858457dddaca2b07b72a4ea92d61075cd600889a980474b9a8c,src/include/spdlog/details/os-inl.h,403,30,-1,45,FF1053,buffer/getenv,"buffer/getenv:Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).","CWE-807,CWE-20",MEDIUM
c2d24088f88d4c9ca1ead3b0345c00c6b0361ae2b83e31d657d93b293bfd1925,src/include/spdlog/details/os-inl.h,534,27,-1,52,FF1053,buffer/getenv,"buffer/getenv:Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).","CWE-807,CWE-20",MEDIUM
a7e6ef4b73cb0cf74f88a6a9d4e04522c79ea9387f8f272e9d0ac542fa7168aa,src/include/spdlog/details/os-inl.h,542,5,-1,19,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
1ac97a3ba47005e92b1143db7ce8881839792e70eb41eb9a29052cfdcb36a640,src/include/spdlog/details/os-inl.h,547,19,-1,33,FF1053,buffer/getenv,"buffer/getenv:Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).","CWE-807,CWE-20",MEDIUM
3d18b7742fcbb9ba5fa2fd26f4df6fac49c474cb645109ab9f9bdadad765c15e,src/include/spdlog/details/file_helper-inl.h,28,33,-1,77,FF1040,misc/open,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
ce986ef829b109a8b4dfddae6e752482a761dfad09f0455542ab32ec09adbc46,src/include/spdlog/details/file_helper-inl.h,55,11,-1,37,FF1040,misc/open,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
657ff8329591453022e3359353e72b30b702c62cf6567d962d837e05e108b31a,src/include/spdlog/details/tcp_client-windows.h,54,9,-1,23,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
48154f46ce6979f7d5e8d4e4537af473dd90578d77ca4d32a22584a1d5bc83b8,src/include/spdlog/sinks/basic_file_sink-inl.h,19,18,-1,43,FF1040,misc/open,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
63be1d9527dc8595b59d8e52c63f711e2f04ddbb7d8700dad266995cded916d8,src/include/spdlog/sinks/daily_file_sink.h,64,22,-1,48,FF1040,misc/open,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
63be1d9527dc8595b59d8e52c63f711e2f04ddbb7d8700dad266995cded916d8,src/include/spdlog/sinks/daily_file_sink.h,87,26,-1,52,FF1040,misc/open,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
dc73ab9c3942cb3f78cc1e560826de7dd7c12a0b61db41485595a5fe28e436a1,src/include/spdlog/sinks/syslog_sink.h,69,11,-1,97,FF1018,format/syslog,"format/syslog:If syslog's format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
27aee793d26f116327b3987f13437c31a016153e68586e0f550f823cf9802b00,src/include/spdlog/sinks/rotating_file_sink-inl.h,33,18,-1,57,FF1040,misc/open,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
17e3908a338ff7dd4427b758243c81d05a28e680a7dbb954fa6dda9bca507768,src/include/spdlog/logger-inl.h,248,9,-1,27,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
dd01ca46afc09ed316c4e0da13b9bee24fc2d2779a7041fc300a758443fdfad9,src/include/spdlog/logger-inl.h,250,9,-1,124,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
54d33a6a9ea3f046c476ee475cebd8d628236c84173f9c46748311048f145790,src/include/spdlog/fmt/bundled/printf.h,175,6,-1,63,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,HIGH
c2a51aa45ee815a00bbcae4e1e9956bf1e74fa806a2f199e7d136e7a2823b1b7,src/include/spdlog/fmt/bundled/printf.h,181,41,-1,48,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,HIGH
9fe98d978ce7e4af1060322fa9e09665c49396ad3d3609e50343480e6521086f,src/include/spdlog/fmt/bundled/printf.h,188,17,-1,61,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,HIGH
