location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
311a73855b3f4477ee6a4d02482e7c09,/usr/include/c++/9/bits/atomic_base.h,207,20,207,20,deadcode.DeadStores,deadcode.DeadStores,Value stored to '__b' during its initialization is never read,CWE-710,LOW
890f61293b984671c6bf407dbbf4352a,/usr/include/c++/9/bits/atomic_base.h,218,20,218,20,deadcode.DeadStores,deadcode.DeadStores,Value stored to '__b' during its initialization is never read,CWE-710,LOW
3cb1331be006a510eb0a3227ae4358ad,src/hb-algs.hh,1149,30,1149,30,core.DivideZero,core.DivideZero,Division by zero,CWE-682,HIGH
ac7e43c4d598f4dd3dc39c7072e593db,src/hb-serialize.hh,709,12,709,12,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'p',CWE-664,MEDIUM
3cb1331be006a510eb0a3227ae4358ad,src/hb-algs.hh,1149,30,1149,30,core.DivideZero,core.DivideZero,Division by zero,CWE-682,HIGH
743d8e87384cf8bb80e9b6832c6e02c8,src/hb-map.hh,117,9,117,9,core.uninitialized.Branch,core.uninitialized.Branch,Branch condition evaluates to a garbage value,CWE-664,HIGH
ac7e43c4d598f4dd3dc39c7072e593db,src/hb-serialize.hh,709,12,709,12,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'p',CWE-664,MEDIUM
743d8e87384cf8bb80e9b6832c6e02c8,src/hb-map.hh,117,9,117,9,core.uninitialized.Branch,core.uninitialized.Branch,Branch condition evaluates to a garbage value,CWE-664,HIGH
fe85252d531ed617dcb5a5028e2d5a75,src/hb-font.hh,186,16,186,16,core.CallAndMessage,core.CallAndMessage,1st function call argument is an uninitialized value,CWE-710,HIGH
61ea0e60347e6379a79480e93f4a0374,src/OT/glyf/SimpleGlyph.hh,329,5,329,5,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'cur',CWE-664,MEDIUM
3ee8d72599927aaf9e2571dab5309c75,src/OT/glyf/CompositeGlyph.hh,333,42,333,42,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'p',CWE-664,MEDIUM
53cacd95221afc05073b91b2885c63e3,test/api/test-ft.c,40,8,40,8,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'ft_error' is used in the enclosing expression, the value is never actually read from 'ft_error'",CWE-710,LOW
