location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
59ca2e68a3307dc7:1,src/hb-common.h,229,14,-1,15,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
5a953defa3a6b018:1,src/hb-unicode.hh,203,8,-1,15,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
be93ba01aea67627:1,src/hb-null.hh,211,7,-1,8,cpp/assignment-does-not-return-this,Overloaded assignment does not return 'this',"Assignment operator in class hb_nonnull_ptr_t<hb_blob_t> does not return a reference to *this.
Assignment operator in class hb_nonnull_ptr_t<const CmapSubtable> does not return a reference to *this.
Assignment operator in class hb_nonnull_ptr_t<const CmapSubtableFormat14> does not return a reference to *this.",,MEDIUM
fbf662b846ae5dc3:1,src/hb-blob.hh,83,15,-1,16,cpp/assignment-does-not-return-this,Overloaded assignment does not return 'this',"Assignment operator in class hb_blob_ptr_t<GDEF> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<GPOS> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<cmap> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<CBLC> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<CBDT> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<COLR> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<gvar> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<sbix> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<SVG> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<loca> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<glyf> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<name> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<hmtxvmtx<hmtx, hhea, HVAR>> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<HVAR> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<hmtxvmtx<vmtx, vhea, VVAR>> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<VVAR> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<GSUB> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<meta> does not return a reference to *this.
Assignment operator in class hb_blob_ptr_t<post> does not return a reference to *this.",,MEDIUM
23f96ebd88ce5d78:1,src/main.cc,350,-1,-1,24,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
75e4b12629fd6d25:1,test/fuzzing/hb-shape-fuzzer.cc,9,-1,-1,33,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
80fb067ba6b289:1,src/hb-ot-shaper-use-machine.hh,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
6f06d6be2088d171:1,src/hb-blob.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
fbba4bfcfac5c60b:1,src/hb-common.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
e6485bf35762372a:1,src/hb-unicode.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
b877420ab9ece040:1,src/hb-set.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
cbad212969f030d6:1,src/hb-map.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
6f06d6be2088d171:1,src/hb-face.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
2933057d9aab33f7:1,src/hb-draw.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
ad1a2d9a2c50aabc:1,src/hb-paint.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
1dced14ef744f8bd:1,src/hb-ot-var.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
fadafffb59d70431:1,src/hb-ot-name.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
6f06d6be2088d171:1,src/hb-font.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
9b4594fc555c0d:1,src/hb-ot-math.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
7475de572fedaddd:1,src/hb-buffer.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
d06091dd7af80de:1,src/hb-ot-color.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
76948243da0fc57e:1,src/hb-ot-shaper-indic-machine.hh,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
c68bbcc0a7af654e:1,src/hb-ot-shaper-khmer-machine.hh,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
ebb0e109d4ad337:1,src/hb-ot-shaper-myanmar-machine.hh,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
c69f99fa4c7d23ee:1,test/fuzzing/hb-fuzzer.hh,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
bb0599ad831ae981:1,src/hb-ot-layout-common.hh,3651,5,3658,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
8629df9c935ed181:1,src/hb-ot-layout-common.hh,2967,5,2970,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
8ee598b80f89f275:1,src/hb-ot-layout-common.hh,2957,5,2960,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
39545877272d31df:1,src/hb-ot-layout-common.hh,2946,5,2949,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
6d70d01de4af84cf:1,src/hb-ot-layout-common.hh,2937,5,2940,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
a1008be6eac5ba2d:1,src/hb-ot-layout-gsubgpos.hh,4308,5,4314,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
f1cb7b9df79a7932:1,src/hb-ot-layout-gsubgpos.hh,4298,5,4304,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
633add3cb697ce88:1,src/hb-ot-layout-gsubgpos.hh,4288,5,4294,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
4d53811e108b4daa:1,src/hb-ot-layout-gsubgpos.hh,4278,5,4284,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
cd36a486887b6911:1,src/hb-ot-layout-gsubgpos.hh,4268,5,4274,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
28cff5d53688fa18:1,src/hb-ot-layout-gsubgpos.hh,4231,5,4237,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
7bd73e3abfe00b0c:1,src/hb-aat-layout-common.hh,397,5,403,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
8098e8975cf902bb:1,src/OT/Layout/GDEF/GDEF.hh,789,5,795,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
fa80baa5f6e8f5b2:1,src/OT/Layout/GDEF/GDEF.hh,779,5,785,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
