location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
f27d4ee8baa099830c986c809f4dc037ebc82a78f3408765976d0e1ee6153ae6,src/main.cc,60,5,-1,27,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
5c1260e615b2c44b2e49872ee2bbc046183fa2bdb464f7d7e74dd96b5ce25964,src/main.cc,61,5,-1,47,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
5deb484ac07a95eb4bdf963a2600d77821d4e5568c6cb33132b1db7cb94e07cc,src/main.cc,68,15,-1,41,FF1040,misc/fopen,"misc/fopen:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
f27d4ee8baa099830c986c809f4dc037ebc82a78f3408765976d0e1ee6153ae6,src/main.cc,115,2,-1,24,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
3c60a311c6960fda4fcd430302f2ea0e51d453b872fe46351aae892a729deaed,src/main.cc,116,2,-1,99,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
5deb484ac07a95eb4bdf963a2600d77821d4e5568c6cb33132b1db7cb94e07cc,src/main.cc,118,12,-1,38,FF1040,misc/fopen,"misc/fopen:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
be82be811a5173cefbfb34c410217f30efa393a5d051953c2eb9b895adfd1cb3,src/main.cc,145,3,-1,70,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
42a1b765304d1ea52d6cdcdbc0cbad88793cc942a2dee6dc07372c4edb76c6de,src/main.cc,154,3,-1,70,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
f6d676c5d3d33517064e989e9ce933b4c1d64aa0376c22ca98a9d70222208c9c,src/main.cc,164,3,-1,85,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
ffe4fe466478300eff534c7d229997e80c984e3c007ba2189f2a51596d1cb942,src/main.cc,176,3,-1,93,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
5cf921e38a05add85493bfdef037b0bf60917575911a47cbf236a86182d2a1cc,src/main.cc,186,3,-1,31,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
df568fde3661789f8730bad33c8b6288134f7580980a4ce827361ac6a174f97f,src/main.cc,223,4,-1,35,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
f27d4ee8baa099830c986c809f4dc037ebc82a78f3408765976d0e1ee6153ae6,src/main.cc,227,2,-1,24,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
9ab4aad4902e4ac8b432a48d33eb8d51ee0ef8d65630aa2a9dd6fe0e6bc19825,src/main.cc,228,2,-1,96,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
5deb484ac07a95eb4bdf963a2600d77821d4e5568c6cb33132b1db7cb94e07cc,src/main.cc,229,12,-1,38,FF1040,misc/fopen,"misc/fopen:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
