location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
dc8b29a206524c48c94ef7c90c3d03f8,/usr/include/webp/mux_types.h,67,5,67,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
abec2d530b731e7572551ca403f19ce5,/usr/include/webp/mux_types.h,88,5,88,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
bac576a4b96f4221e435f24567523892,src/sel2.c,118,9,118,9,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
d17568745b4834750f8dc5fd16ede714,src/sel2.c,124,9,124,9,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
78aeed0cf87d120a03a1a728e5028721,src/sel2.c,133,9,133,9,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
312642cf657655e6bec951896f25aa74,src/sel2.c,341,9,341,9,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
ff023f4065cb7d2a3c7de4bfdbbcc321,src/sel2.c,346,9,346,9,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
5c4a22ee161c1656a34a1d9d13103c3a,src/sel2.c,389,9,389,9,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
627400fba4ff1dff93cc6f1ed9b5a3c1,src/sel2.c,391,9,391,9,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
570ddaceba21f6368798040683d49ae9,src/sel2.c,502,9,502,9,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
cbec601d2bd9ca5f2d0bef805e6aad39,src/sel2.c,633,13,633,13,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
198ec4efdefe1b5aeee44e4a56aa77e0,prog/colorspace_reg.c,172,9,172,9,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
8ad3d5ff90c30b64298467f8d3d4f1a6,src/recogtrain.c,932,5,932,5,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'validsets' is never read,CWE-710,LOW
f2b6a394a13b944dc70336fbcfe93891,src/recogtrain.c,1563,13,1563,13,core.CallAndMessage,core.CallAndMessage,2nd function call argument is an uninitialized value,CWE-710,HIGH
c3f9a5f3fd731750bdf564e96a95ad87,src/recogtrain.c,2033,9,2033,9,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
c0f8ede26a00ae97ca05bbdec7561536,src/recogtrain.c,2039,13,2039,13,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
e485c76fe1610feb4fb57a3de513c137,src/recogtrain.c,2250,9,2250,9,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
7b4db090086d76529e09e072d7bb2581,src/recogtrain.c,2303,5,2303,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
f381b2298ebb66aad34fc5048108feb1,src/recogtrain.c,2471,9,2471,9,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'snprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'snprintf_s' in case of C11,,MEDIUM
a9679af382ff7d293d4fdc3c38dd8ca0,prog/xformbox_reg.c,153,5,153,5,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'n' is never read,CWE-710,LOW
44d7094d070152e3b8466f48477b8f2d,prog/messagetest.c,151,5,151,5,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'orig_severity' is never read,CWE-710,LOW
341097262b3c7b9efa9fe3aa50e6f3dc,prog/messagetest.c,166,5,166,5,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'pix1' is never read,CWE-710,LOW
341097262b3c7b9efa9fe3aa50e6f3dc,prog/messagetest.c,172,5,172,5,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'pix1' is never read,CWE-710,LOW
341097262b3c7b9efa9fe3aa50e6f3dc,prog/messagetest.c,178,5,178,5,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'pix1' is never read,CWE-710,LOW
39e18a169f55b4bca9132ec441fee0ca,src/binexpand.c,117,13,117,13,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
fa97926fd68b9d069f831ca8301ccee5,src/binexpand.c,176,13,176,13,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
66f0d964efb86391711064ada2e00463,src/binexpand.c,190,17,190,17,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
66f0d964efb86391711064ada2e00463,src/binexpand.c,204,17,204,17,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
66f0d964efb86391711064ada2e00463,src/binexpand.c,217,17,217,17,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
