location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
accbee9cc4072ff76025be0631f6d1f624be8970e92f6f6decbbdea050ca73c3,src/pixafunc2.c,443,1,-1,18,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
88d0f7e914e61bdd0dac21cf4666789fd4e2e0fc80813ed5f379c75dd187246d,src/pixafunc2.c,517,5,-1,62,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
a8af819cf30c85e5321c0154480f8f92c42136ed790d582aed29d90266bc7b7d,src/pixafunc2.c,1207,1,-1,20,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
339cc182677401ee8e28f052706ae8616bed6b5524a87cc112b1b4f5f40be938,src/pixafunc2.c,1248,24,-1,46,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
91070717f8ff35308b5dd24a67528328bb30943d1d6bcd86642cf56dd474370c,src/pixafunc2.c,1249,13,-1,55,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
a8af819cf30c85e5321c0154480f8f92c42136ed790d582aed29d90266bc7b7d,src/pixafunc2.c,1306,1,-1,20,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
339cc182677401ee8e28f052706ae8616bed6b5524a87cc112b1b4f5f40be938,src/pixafunc2.c,1353,24,-1,46,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
91070717f8ff35308b5dd24a67528328bb30943d1d6bcd86642cf56dd474370c,src/pixafunc2.c,1354,13,-1,55,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
67f321c92a06d16cc6f063e78f6ad14882656d66d169151ea6a2a78d0c9826d9,src/pixafunc2.c,1946,1,-1,17,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
d8dc250cd87caaa6b6408641485c5dac2089ce6f0e429dfe7a38b3894056aaad,src/pixafunc2.c,1973,9,-1,45,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
5aca4caeabae92fc1a8a9ead2d7ff81fce7860a77c7a3937e01468dff19b3ad6,src/pixafunc2.c,2111,17,-1,36,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
3737657e741c3951190c52c4b691bb51768f0f76f4d2cfc7b9c53cddb2ed6f85,src/pixafunc2.c,2112,13,-1,45,FF1021,buffer/sscanf,"buffer/sscanf:The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
bf87102552cd9a28f4402324cd1ee3a78d98feb83ee6162adbd5960d8442eb00,src/pixafunc2.c,2231,1,-1,18,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
b112c5e6042b83d4edd3047f8a73009612ac680812a699672b0ba0cc6f19c5cd,src/pixafunc2.c,2259,13,-1,77,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
854031b6fd2c75622228a97077a8c2c1e43dbe2c3decf88331bf83693666cc76,src/pixafunc2.c,2263,13,-1,78,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
