location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_in_target_file,warning_in_target_function,warning_in_target_code_block,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
5d9ccd71f6628d700497fc05fb65a11f,libarchive/archive_read_support_format_rar.c,289,8,289,8,True,False,False,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct rar' (51 padding bytes, where 3 is optimal). Optimal fields order: file_crc, packed_size, unp_size, mtime, mnsec, filename, filename_save, filename_save_size, filename_allocated, atime, ansec, ctime, cnsec, arctime, arcnsec, bytes_unconsumed, bytes_remaining, bytes_uncopied, offset, offset_outgoing, offset_seek, unp_buffer, crc_calculated, dbo, sconv_default, opt_sconv, sconv_utf8, sconv_utf16be, bytein, lzss, br, maincode, offsetcode, lowoffsetcode, lengthcode, range_dec, filters, ppmd7_context, main_flags, file_flags, mode, unp_offset, unp_buffer_size, dictionary_size, found_first_header, cursor, nodes, lastlength, lastoffset, lastlowoffset, numlowoffsetrepeats, ppmd_escape, init_default_conversion, has_encrypted_entries, oldoffset, encryptver, compression_method, valid, start_new_block, entry_eof, has_endarc_header, filename_must_match, start_new_table, ppmd_valid, ppmd_eod, is_ppmd_block, reserved1, reserved2, salt, lengthtable, consider reordering the fields or adding explicit padding members",,LOW
ed5aece7d82879facb77a630303c5df4,libarchive/archive_read_support_format_rar.c,696,7,696,7,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
fa3eb806afb95e09dedf8009f61c13f7,libarchive/archive_read_support_format_rar.c,983,7,983,7,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
a655db2f5bdbc584cec69a960935b571,libarchive/archive_read_support_format_rar.c,984,7,984,7,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
98aea4405ff1d9d5d419c7d5dbb3342f,libarchive/archive_read_support_format_rar.c,1391,3,1391,3,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
7d96d348515f40b36e31740f64cad977,libarchive/archive_read_support_format_rar.c,1412,5,1412,5,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
90d05a494a6499afb07515c66ad9a2ea,libarchive/archive_read_support_format_rar.c,1442,3,1442,3,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
e04e2ae7e938f0e1a48ba5becbd20a17,libarchive/archive_read_support_format_rar.c,1466,5,1466,5,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
43cfaab0eac8d8529fdca7282ca22a3d,libarchive/archive_read_support_format_rar.c,1467,5,1467,5,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
be1a34bfe7a07c1707f38e2d4c037b5f,libarchive/archive_read_support_format_rar.c,1469,5,1469,5,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
0a27d13b65000d2668ba1414af76ea77,libarchive/archive_read_support_format_rar.c,1470,5,1470,5,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
3ee9bf22f5288d4cc32edeb26ca53546,libarchive/archive_read_support_format_rar.c,1523,3,1523,3,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
2fee97353e72127e95265a4017d87a6c,libarchive/archive_read_support_format_rar.c,1677,3,1677,3,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
bba50cb8adf0f632c475b3958e82164b,libarchive/archive_read_support_format_rar.c,1700,5,1700,5,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
72dec89cb30e2e26671239727b88a512,libarchive/archive_read_support_format_rar.c,1757,3,1757,3,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
6e392e00d0f60581c0bd6a2f7e812696,libarchive/archive_read_support_format_rar.c,2336,7,2336,7,True,False,False,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
