location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
a077ee781bb417b344e515d6df4577c0a8ac2bd961f4d6a4e82578cdef96da34,cat/test/test_help.c,35,13,-1,31,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
da8fc112ffab8b3f6109dfc36b1be465f9ba8cd40eb270d5668f6bfe1e3cc1c9,cat/test/test_0.c,43,3,-1,18,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
da8fc112ffab8b3f6109dfc36b1be465f9ba8cd40eb270d5668f6bfe1e3cc1c9,cat/test/test_0.c,51,3,-1,18,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
0825ac8b95a8a16c201489a511d42951ab08a8e9f9a147cc0d682b9840b8502c,cat/bsdcat.c,56,2,-1,17,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
3834a677d78ed4177c99443d76c3fa205c6d44456b2915e6b62cd16e6a297c8a,cat/bsdcat.c,64,2,-1,29,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
8fec91c22d59871840eab9ecd68e1ad12a1092f8ffa7ec4cce8e6326768e68ab,cat/cmdline.c,222,16,-1,44,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
8a24447579afb223e12b2defb913ae529e1915d53faeb69036c58ae3dc2c208b,cat/cmdline.c,235,9,-1,43,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
cf08e71d4e8cd3371d81c4dfa1c801b83899617a87998a5eabfb60eef5021970,build/pkgconfig/libarchive.pc,7,42,-1,80,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
01991604c3ad8e510fc02e96d703b5f3ae6cabaa27c23548dd1e3ddff306fa1d,examples/untar.c,100,10,-1,20,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
c21c33c08331da4ec3a858d088873134f4fc7404b49991b6e1ef7355f4d7a04f,examples/untar.c,237,14,-1,25,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
da11e0c2638f4f929237f8fc097b0e93ca6538529ae4b52c57ef01328663f5de,examples/untar.c,243,14,-1,25,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e,examples/tarfilter.c,31,2,-1,28,FF1017,format/fprintf,"format/vfprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,HIGH
c70538fe7bd200474e0073f77b4a3013bf4e4c5e15b6cd46ae71dd8d0173e16b,examples/tarfilter.c,33,2,-1,24,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
a9ede9fd3028125bba01601fb93c0b1a4d73a12618b8785211475d9d1dbf07ef,examples/tarfilter.c,40,2,-1,18,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
812e21903f1941be607be31f58fe9ce535ad93466fd85ca4dd7169a1ce8c96ab,examples/tarfilter.c,72,3,-1,58,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
a754b2e587ecdb76640e4f769084756f49569bcfdbdf9def1974a2be1d0e4932,examples/tarfilter.c,76,4,-1,33,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
cf20aae63f13e22e1ea15d0f8b6261b75862a6662924f7b7ab6f2dd3e102d216,examples/tarfilter.c,103,3,-1,31,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
01991604c3ad8e510fc02e96d703b5f3ae6cabaa27c23548dd1e3ddff306fa1d,examples/minitar/minitar.c,158,10,-1,20,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
bfbd58eee15077299bad01084f03cab2f5c1380f30ab706c48f5016b10c04f16,examples/minitar/minitar.c,219,8,-1,25,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
2cdc6bc19c94403cbdc03864ab9a251da2067bc32b9e2f6a41e4ebdf84ca5001,examples/minitar/minitar.c,309,10,-1,58,FF1040,misc/open,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
ad778482b628a285c74e236fc426b1d649baf712e20183e74f60f40ada605309,examples/minitar/minitar.c,310,11,-1,40,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
ad778482b628a285c74e236fc426b1d649baf712e20183e74f60f40ada605309,examples/minitar/minitar.c,313,12,-1,41,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
c21c33c08331da4ec3a858d088873134f4fc7404b49991b6e1ef7355f4d7a04f,examples/minitar/minitar.c,434,14,-1,25,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
da11e0c2638f4f929237f8fc097b0e93ca6538529ae4b52c57ef01328663f5de,examples/minitar/minitar.c,443,14,-1,25,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
deb402fd4c903c69490b18eebdbe9826e6fbf9e8b7086800e2d4c23f237d8ff4,tar/util.c,70,9,-1,19,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
6d97434763a09e67342b8dfc8852e5ffc99d2b853a9aa8730d207cdfb71c6ea4,tar/util.c,96,2,-1,69,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
ae0a45ccd293d9d6ab014084df0dbd0be1eb889f116c52c48e4b80e8eca67eff,tar/util.c,97,2,-1,58,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
687c7620d28ac7fa9a07c4d370cca6d2ba522948bdd86b9595021ad636ff96ca,tar/util.c,115,11,-1,55,FF1019,format/vsnprintf,"format/vsnprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,HIGH
687c7620d28ac7fa9a07c4d370cca6d2ba522948bdd86b9595021ad636ff96ca,tar/util.c,138,13,-1,57,FF1019,format/vsnprintf,"format/vsnprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,HIGH
ae2721b858ff868a388459688da9f003f03faf9568a8b17d0c93af563195029a,tar/util.c,188,4,-1,30,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
ae2721b858ff868a388459688da9f003f03faf9568a8b17d0c93af563195029a,tar/util.c,193,2,-1,28,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
f2c5d8c5e2f40dde476d8274cbd40a5e1e90f3a55db3f784be30500b90dfc750,tar/util.c,224,4,-1,45,FF1015,buffer/sprintf,buffer/sprintf:Does not check for buffer overflows (CWE-120).,CWE-120,LOW
af70f891862e240ff12670ad2aa1f4c08dc5c2fa845455fdac4db44e421927a4,tar/util.c,235,2,-1,16,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e,tar/util.c,241,2,-1,28,FF1017,format/fprintf,"format/vfprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,HIGH
6d82a8646f4592fe19da2e5f85eacf5e90f7ff834d96ee322b4abaeb4980c7bb,tar/util.c,243,2,-1,30,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
a5f16fce45fbffbe4a8787833e383ae9c9db668e7ec8e48127996b874a8181b7,tar/util.c,246,6,-1,38,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
c0e3a21b7f2136f9da89074b7d7fe2a8ce2e6c341261b64a999030665bdb4ed8,tar/util.c,248,4,-1,46,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
5b4135566352902ee1b0d4d68d26a8550d2a1ed379fe0c6fd27b1568ea01cb32,tar/util.c,311,20,-1,40,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
d867a960ffa48bdd3ab9fcf1ab64c376a9392070b12f62d941499e669602c8a9,tar/util.c,312,44,-1,64,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
428ea3fe456260ece59206d5c820a1d81fac28e32b67a1c2d5a4eb717b40b527,tar/util.c,316,4,-1,43,FF1015,buffer/sprintf,buffer/sprintf:Does not check for buffer overflows (CWE-120).,CWE-120,HIGH
a2cc05f17094c38b1380d85078ecebac14a78a65801253f5a308e2b431ffd632,tar/util.c,572,9,-1,23,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
