location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
c518d64f7de25300e9e0f79c0003d78d,/usr/include/x86_64-linux-gnu/bits/string_fortified.h,90,10,90,10,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
7024aca43649b46893509e49a5845275,/usr/include/x86_64-linux-gnu/bits/string_fortified.h,128,10,128,10,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcat' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcat'. CWE-119,,MEDIUM
5c6a2e235c9dfcab79206cf073c3c654,htp/htp.h,208,8,208,8,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct htp_tx_t' (32 padding bytes, where 0 is optimal). Optimal fields order: connp, conn, cfg, user_data, request_line, request_method, request_uri, request_protocol, parsed_uri, parsed_uri_raw, request_message_len, request_entity_len, request_headers, request_content_type, request_content_length, hook_request_body_data, hook_response_body_data, request_urlenp_query, request_urlenp_body, request_mpartp, request_params, request_cookies, request_auth_username, request_auth_password, request_hostname, response_line, response_protocol, response_status, response_message, response_headers, response_message_len, response_entity_len, response_content_length, response_content_type, flags, index, is_config_shared, request_ignored_lines, request_method_number, request_protocol_number, is_protocol_0_9, request_transfer_coding, request_content_encoding, request_auth_type, request_port_number, response_ignored_lines, response_protocol_number, response_status_number, response_status_expected_number, seen_100continue, response_transfer_coding, response_content_encoding, response_content_encoding_processing, request_progress, response_progress, req_header_repetitions, res_header_repetitions, consider reordering the fields or adding explicit padding members",,LOW
5c6a2e235c9dfcab79206cf073c3c654,htp/htp.h,208,8,208,8,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct htp_tx_t' (32 padding bytes, where 0 is optimal). Optimal fields order: connp, conn, cfg, user_data, request_line, request_method, request_uri, request_protocol, parsed_uri, parsed_uri_raw, request_message_len, request_entity_len, request_headers, request_content_type, request_content_length, hook_request_body_data, hook_response_body_data, request_urlenp_query, request_urlenp_body, request_mpartp, request_params, request_cookies, request_auth_username, request_auth_password, request_hostname, response_line, response_protocol, response_status, response_message, response_headers, response_message_len, response_entity_len, response_content_length, response_content_type, flags, index, is_config_shared, request_ignored_lines, request_method_number, request_protocol_number, is_protocol_0_9, request_transfer_coding, request_content_encoding, request_auth_type, request_port_number, response_ignored_lines, response_protocol_number, response_status_number, response_status_expected_number, seen_100continue, response_transfer_coding, response_content_encoding, response_content_encoding_processing, request_progress, response_progress, req_header_repetitions, res_header_repetitions, consider reordering the fields or adding explicit padding members",,LOW
1523dbe5f2fe1e4322915fce17f7148c,htp/htp_response_generic.c,327,12,327,12,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'h',CWE-664,MEDIUM
cc894fde9c1056390a11898e290807d5,htp/htp_multipart.c,445,12,445,12,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'h',CWE-664,MEDIUM
85a5e45865e316f3259e2ecfa26d526b,htp/htp_base64.c,101,44,101,44,core.uninitialized.Assign,core.uninitialized.Assign,Assigned value is garbage or undefined,CWE-664,HIGH
cc894fde9c1056390a11898e290807d5,htp/htp_multipart.c,445,12,445,12,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'h',CWE-664,MEDIUM
1523dbe5f2fe1e4322915fce17f7148c,htp/htp_response_generic.c,327,12,327,12,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'h',CWE-664,MEDIUM
44635ce97cb35b97521207b3f445c0b6,htp/htp_transaction.c,308,12,308,12,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'h',CWE-664,MEDIUM
955e825f042a1c59fc55c6662996bb99,htp/htp_transaction.c,737,12,737,12,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'h',CWE-664,MEDIUM
ad6920417769f98b0572444caa41b557,htp/htp_request_generic.c,131,12,131,12,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'h',CWE-664,MEDIUM
44635ce97cb35b97521207b3f445c0b6,htp/htp_transaction.c,308,12,308,12,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'h',CWE-664,MEDIUM
955e825f042a1c59fc55c6662996bb99,htp/htp_transaction.c,737,12,737,12,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'h',CWE-664,MEDIUM
ad6920417769f98b0572444caa41b557,htp/htp_request_generic.c,131,12,131,12,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'h',CWE-664,MEDIUM
85a5e45865e316f3259e2ecfa26d526b,htp/htp_base64.c,101,44,101,44,core.uninitialized.Assign,core.uninitialized.Assign,Assigned value is garbage or undefined,CWE-664,HIGH
