location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
8e5bf914f246cf02:1,htp/htp_util.c,469,5,490,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
5c4b02e5cddae367:1,htp/bstr.c,556,17,-1,18,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
c4584abd7225fd03:1,htp/htp_multipart.c,1129,9,1354,10,cpp/long-switch,Long switch case,"Switch has at least one case that is too long: [STATE_DATA (74 lines)](1).
Switch has at least one case that is too long: [STATE_BOUNDARY (70 lines)](2).",,LOW
91f9e2e69a0b4257:1,htp/htp_util.c,1068,9,1126,10,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [0 (38 lines)](1).,,LOW
91faa0d34f1e67cd:1,htp/htp_util.c,963,9,1037,10,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [0 (42 lines)](1).,,LOW
b0288667d9ebe634:1,htp/htp_connection.c,130,17,-1,42,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
be89a6789efe097e:1,htp/htp_connection.c,104,9,-1,34,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
265333ffca707dfe:1,htp/htp_connection.c,108,9,-1,34,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
9b25517ffc5d8d30:1,htp/htp_connection_parser.c,93,9,-1,30,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
e845b520b7bdfb52:1,htp/htp_connection_parser.c,97,9,-1,31,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
6ab571fdc113b49b:1,htp/htp_multipart.c,947,9,-1,43,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
b0cd1f2de7e7d9a9:1,htp/htp_decompressors.c,113,17,-1,76,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
afbe512c21bc634a:1,htp/htp_decompressors.c,110,17,-1,73,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
c7e9937194080af3:1,htp/htp_decompressors.c,80,13,-1,72,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
6ea1446639e90b9a:1,htp/htp_decompressors.c,77,13,-1,72,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
57fd2ae6a5c69ffa:1,htp/htp_decompressors.c,73,13,-1,93,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
dab6250d78a6339b:1,htp/htp_request.c,318,15,-1,38,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
2dbcffa5287802d1:1,htp/lzma/LzmaDec.h,11,-1,-1,27,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
e966e371fe34f7d4:1,htp/htp_util.c,2364,9,2377,11,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
61fd8db4e7b49b02:1,htp/lzma/7zTypes.h,351,-1,353,3,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
6434229bda3e2361:1,htp/lzma/7zTypes.h,345,-1,347,3,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
21a44fcf573f445a:1,htp/lzma/7zTypes.h,325,-1,330,3,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
8072d0f1cf1b1a78:1,htp/lzma/7zTypes.h,313,5,315,7,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
e93102b2655e8b67:1,htp/lzma/7zTypes.h,141,-1,146,3,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
d45f79dbc810bb9a:1,htp/lzma/7zTypes.h,107,-1,-1,28,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
75bb307cbafaa27a:1,htp/lzma/7zTypes.h,49,-1,-1,26,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
137dc34aabf0b595:1,htp/lzma/7zTypes.h,8,-1,-1,27,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
46dae5bf90071aa4:1,htp/lzma/LzmaDec.c,831,15,-1,54,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
2b527a72dbe31d2d:1,htp/lzma/LzmaDec.c,817,11,-1,61,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
701cc2bd6ad22643:1,htp/lzma/LzmaDec.c,682,7,-1,55,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
a731a7d3946f58ac:1,htp/lzma/LzmaDec.c,487,15,494,17,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
e0b1574aad74b2ab:1,htp/lzma/LzmaDec.c,126,-1,132,3,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
ab9527e4c242ff11:1,htp/lzma/LzmaDec.c,121,-1,123,3,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
