location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
6a30c220ca449b87660d53ec07f24e43c0d10b04c86821d93034df24c4b4c7cf,test/test-tcpick.c,94,49,-1,74,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
768da6775476544214b407eaaf306dc4e17d2b27343f03c0a613f7e837bdf9c8,test/test-tcpick.c,102,46,-1,71,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
22ed95b747a0b0e044a4865a5a9df62db3ca4a35a5bff66614c0f2eefe1b087e,test/test-tcpick.c,109,5,-1,20,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
6524f8a6a6cf92abc5760af16a05538454b92619265b1e93168632f10756848f,test/test-tcpick.c,121,9,-1,60,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
f54415051851954d6667a264c4323a7d8a2df7e5cd03399691b0cf15926c4826,test/test-tcpick.c,125,15,-1,37,FF1040,misc/fopen,"misc/fopen:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
3062d41011ce7748450d2f0358abcbfb165b10e2042111aa9ebba91725e85c3e,test/test-tcpick.c,127,9,-1,55,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
cd738d6a28c8063e8a32ccd5a85cbab1438c5e6dd9a8a9e98165627ec67da53e,test/test-tcpick.c,163,17,-1,49,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
cd738d6a28c8063e8a32ccd5a85cbab1438c5e6dd9a8a9e98165627ec67da53e,test/test-tcpick.c,175,17,-1,49,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
1a0a9b83c014bbb079444cd2088209a4bc1e6a1bb0fdbedcb9b8fb66754e0891,test/test-tcpick.c,190,13,-1,49,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
97ed9b3327f26897a96c5f813764bde99d9e8fd0e15176d9c2b66473b79b4188,test/test-tcpick.c,199,13,-1,58,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
98cfc3012d002b3dd6c0f1973e981c611ab528558c2c7f660d83861bdb7163cc,test/test-tcpick.c,206,20,-1,43,FF1070,input/fread,input/fread:Function accepts input from outside program (CWE-20).,CWE-20,LOW
27d7865e36a85dbe4214d360e800716b1c4d8f401478d1ea652bd0fe7cbfd9e9,test/test-tcpick.c,207,13,-1,27,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
86753089edd8e96675f0102bc52bd39c8f2c94e4f63e4a6e6052dfa82d40f6a3,test/test-tcpick.c,260,5,-1,19,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
0ced7aca90844631a78e76cea41e06223b317e9d1704fc4f20f0b4d707f4fea6,test/test-tcpick.c,277,5,-1,87,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
10b2f5b84f3f32c56407c1a1e7d9a22474e0098ec5667aef9591ef431757fdca,test/test-tcpick.c,289,5,-1,50,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
1ca28769c33e072fc986010dbdcf3cb8ceb2cfda75798edb77b1117e4ba27260,test/test-tcpick.c,296,17,-1,61,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
4f411ccc0c2d0c167dac3da25d9252216d21547113aafc9a0a803f63bcf7991e,test/test-tcpick.c,298,17,-1,61,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
f10fdd38ac07dc1abd52c86e06751b0d266ac8fc23023e781bbd49330dc59286,test/test-tcpick.c,306,9,-1,86,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
77ad82ae393d2d1d9bf56c31c66487ad8ff5269d24d44609f658b9d6a07b36d7,test/test-tcpick.c,311,13,-1,28,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
4c6f1301d05cbd76ed653dd490901d6f1598b523f200061497bde5038ec6933f,test/test-tcpick.c,315,9,-1,22,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
22ed95b747a0b0e044a4865a5a9df62db3ca4a35a5bff66614c0f2eefe1b087e,test/test-tcpick.c,325,5,-1,20,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
4d8ddcbb5791216e9e8f08a2ff67644e77f653dfbc81cbef3971672873fbc422,test/test-tcpick.c,329,9,-1,59,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
7f135eff862f5af1fec242d798159e05906280753fbfc13097f6381152b88f50,test/test-tcpick.c,335,13,-1,41,FF1008,buffer/strncpy,buffer/strncpy:Easily used incorrectly; doesn't always \0-terminate or check for invalid pointers [MS-banned] (CWE-120).,CWE-120,LOW
