location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
a369f2877fb876024bf0ed324a8aa8d0,error.c,501,9,501,9,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'vsnprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'vsnprintf_s' in case of C11,,MEDIUM
4e44ee549e9d543cc878e1521a730a6a,error.c,699,5,699,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'vsnprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'vsnprintf_s' in case of C11,,MEDIUM
d352203e2a116fc4d0038b86175efa47,error.c,742,5,742,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'vsnprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'vsnprintf_s' in case of C11,,MEDIUM
9a2dd9ce3eec76c31acceccf904b17b8,error.c,797,5,797,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'vsnprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'vsnprintf_s' in case of C11,,MEDIUM
a838c506d1658af042c555a1bb8b611e,error.c,833,5,833,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'vsnprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'vsnprintf_s' in case of C11,,MEDIUM
b0f1e077f71ddd45dab5fddba6fb2f33,error.c,889,5,889,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
2eff1a4e5425b6dc3aa0be636f8b6b79,xmlmodule.c,88,5,88,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
b9d36bb828bf5afbec91bbc05ef21e02,xinclude.c,237,5,237,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
52e60478785cddc9242b7904ce7dd6b6,xinclude.c,295,5,295,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
18ed2953191d68cf0969df94b0bcdc1e,xinclude.c,1358,14,1358,14,core.NullDereference,core.NullDereference,Access to field 'intSubset' results in a dereference of a null pointer (loaded from variable 'doc'),"CWE-703,CWE-710",HIGH
