location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
87e90b86acb564decb422c26279586bab0ef2b10b4bc1bcb410da14c3ae5482a,hash.c,272,2,-1,69,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
6af33c139cf58a6639ffa1a1947413def2dc3a5ad8344f0486714e8f073876e2,hash.c,288,3,-1,60,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
964d8700e2cc93366d59e3f9c65539628c7605a7cd16dc7925b2ac71ae2d28d9,hash.c,1128,4,-1,62,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
a21ba37ebc670b1ce70862a79b5b33dc3d13760ba58dcd6922e7df8390cbe42a,python/types.c,93,5,-1,47,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
e5cc6a9f20f1ccf9377d608099e5ee3bc989f177741f002316c4dd93547db62a,python/types.c,105,5,-1,49,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
acbd8e37e8a5742240308d712d2538c4903cacaa7da85921d8cd2af545c43e21,python/types.c,117,5,-1,50,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
f21db384c8f434c7f5354129c89ac1668e89810f2e821ab98983425779f8c90b,python/types.c,129,5,-1,54,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
f21db384c8f434c7f5354129c89ac1668e89810f2e821ab98983425779f8c90b,python/types.c,146,5,-1,54,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
e645352d6c60953c5421e18983efbc1eb2c2d970e566535f76dbc174f1f208bb,python/types.c,162,5,-1,54,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
e645352d6c60953c5421e18983efbc1eb2c2d970e566535f76dbc174f1f208bb,python/types.c,179,5,-1,54,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
f21db384c8f434c7f5354129c89ac1668e89810f2e821ab98983425779f8c90b,python/types.c,195,5,-1,54,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
e645352d6c60953c5421e18983efbc1eb2c2d970e566535f76dbc174f1f208bb,python/types.c,211,5,-1,54,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
ad2d3e2dce3a00b2ca85807d2cf66c854850ac9e7fa45af2085e621c45cbc812,python/types.c,227,5,-1,53,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
3289e0675a51fbd153b0c4a6e6e710861e0a3a4c010ce2496de6ad6f06c48a01,python/types.c,244,5,-1,56,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
baf28a7c3e7b81126f32b591877643fc2e15f38f210949f52daa3f08faddc923,python/types.c,260,5,-1,53,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
2c821a7bbf578963fd6cf19de1120543932498843454195313879f3da65f8364,python/types.c,276,5,-1,52,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
3b816795db0d8937adaaba697041262ee2c4796d5460e21fea79874d4897fca9,python/types.c,292,5,-1,60,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
1bcef3261ec5e4cabc2fe3e0b5a616acdf18c198586b41d6f00e6f205bfac703,python/types.c,308,5,-1,61,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
8f325cec7f30d97453854ee3a954962dc2c37a43d23bfe9aa8b96392ef95327f,python/types.c,324,5,-1,63,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
a643de1383e7fe49229ee41f9a8d6e5589d08d92629e4816d95fe0268a39a38c,python/types.c,340,5,-1,64,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
72a420e9adf4324c5657d434369c703f11a6d0da3a99706ec16b494361e1ead2,python/types.c,356,5,-1,70,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
032878fe2e3078a87a07f110b868f1947373b6f4b1976111e40e6daa0e4d77f9,python/types.c,372,5,-1,62,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
7ecabbfed095dfcd52f02087b74cf7e072a6600ea7773199a75a77e9785438d4,python/types.c,401,5,-1,71,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
