location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_in_target_file,warning_in_target_function,warning_in_target_code_block,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
da7f9d370e69ffc510cf717bf73afd85a09de0cad79df49beac071d018cc6c00,xmlreader.c,68,35,-1,87,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
646bb51ad87f1c4f7a0f608bb736dcd2c75eab02e3044075fef012c7e729caec,xmlreader.c,586,2,-1,42,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
22c110b0c55c7ca932b9dcd2fce4741d24bb4e43470a7f717bbc9324420d86c0,xmlreader.c,589,5,-1,57,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
ba07b4a405634f2fa261c47682c61d9024bd262d58caa453c76fce59955cde47,xmlreader.c,592,2,-1,35,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
acae66e0958bd1ec61904e8ac6cb5d5bdec267b3aadc5412356fee55fd05473d,xmlreader.c,594,2,-1,51,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
f4046c3bfdcf7f49944bb5178651c009d3841f521f36ac4eb1001de15460bf5f,xmlreader.c,596,5,-1,60,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
272a2aa365afc018049dc71c175a4198b52e60e88f82967030d380c0b5467d7c,xmlreader.c,599,2,-1,38,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
c70538fe7bd200474e0073f77b4a3013bf4e4c5e15b6cd46ae71dd8d0173e16b,xmlreader.c,605,2,-1,24,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
36219765bf5c9e27505f8a86858f988df46559ae2bb2a3d123d2414f670181a6,xmlreader.c,687,5,-1,57,True,False,False,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
0ad695a144cd1932f29985cfbb26013dc8f5e507366ead59814426abde57f4a8,xmlreader.c,713,5,-1,55,True,False,False,FF1016,format/printf,"format/printf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
