location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
d907eb3afc7c17ab:1,src/include/ndpi_typedefs.h,885,14,-1,15,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
5e78fd27bbd1e9d6:1,src/lib/third_party/include/libcache.h,40,14,-1,26,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
a46f79da7ae8d7cd:1,src/lib/ndpi_analyze.c,279,-1,-1,45,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
38b18ecb2b700f2a:1,src/lib/ndpi_analyze.c,278,-1,-1,37,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
1377b32373ebb8ad:1,src/lib/third_party/src/gcrypt_light.c,57,-1,-1,27,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
6b127069174aa97d:1,src/lib/third_party/src/gcrypt_light.c,56,-1,-1,32,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
e8442aa406f316b0:1,src/lib/third_party/src/gcrypt_light.c,55,-1,-1,27,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
98e4f9e791797bc3:1,src/lib/third_party/src/gcrypt_light.c,53,-1,-1,24,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
9deb7a5c12bfb523:1,src/lib/third_party/src/gcrypt_light.c,50,-1,-1,26,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
5794de10a57368d9:1,src/lib/third_party/src/gcrypt_light.c,48,-1,-1,24,cpp/include-non-header,Include header files only,The #include pre-processor directive should only be used to include header files.,,LOW
