location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
9d27784d016b3a09:1,codec/decoder/core/inc/error_code.h,81,6,-1,7,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
3ffd1c12c306139a:1,codec/console/dec/src/d3d9_utils.cpp,559,5,-1,20,cpp/array-in-interface,No raw arrays in interfaces,Raw arrays should not be used in interfaces. A container class should be used instead.,,LOW
3cc795c1bb370c62:1,codec/common/inc/WelsThreadPool.h,53,8,-1,23,cpp/undisciplined-multiple-inheritance,Undisciplined multiple inheritance,"Multiple inheritance should not be used with 1 interfaces, 0 private implementations, 0 protected implementations, and 1 public implementations.",,LOW
1e27289a84eddbea:1,codec/encoder/core/inc/wels_task_management.h,68,8,-1,27,cpp/undisciplined-multiple-inheritance,Undisciplined multiple inheritance,"Multiple inheritance should not be used with 1 interfaces, 0 private implementations, 0 protected implementations, and 1 public implementations.",,LOW
1156dc96c9e68857:1,codec/processing/src/scrolldetection/ScrollDetection.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
1156dc96c9e68857:1,codec/processing/src/scrolldetection/ScrollDetectionFuncs.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
9c1e2b0ab6917412:1,codec/decoder/core/src/au_parser.cpp,1373,5,1382,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
bdac5ca7b4fb82ee:1,codec/encoder/core/src/wels_preprocess.cpp,92,3,102,4,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
e89e8630140e91bb:1,codec/console/dec/src/h264dec.cpp,563,37,-1,38,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
2b1dc8b8764fb2ed:1,codec/console/dec/src/h264dec.cpp,570,43,-1,44,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
