location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_in_target_file,warning_in_target_function,warning_in_target_code_block,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
f365220161a44f86:1,codec/decoder/plus/src/welsDecoderExt.cpp,713,3,718,6,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
97e062349c313ef9:1,codec/decoder/plus/src/welsDecoderExt.cpp,708,3,711,28,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
f417293858af4917:1,codec/decoder/plus/src/welsDecoderExt.cpp,705,3,706,53,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
5de82e74aec80c3b:1,codec/decoder/plus/src/welsDecoderExt.cpp,113,3,-1,50,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
712201e741a2233d:1,codec/decoder/plus/src/welsDecoderExt.cpp,101,3,-1,48,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
51329eb31e9a95a1:1,codec/decoder/plus/src/welsDecoderExt.cpp,51,-1,-1,22,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
1b67e7a065a3dcc2:1,codec/decoder/plus/src/welsDecoderExt.cpp,42,-1,-1,22,True,False,False,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
371e866b656ed6d4:1,codec/decoder/plus/src/welsDecoderExt.cpp,1089,6,-1,47,True,False,False,cpp/poorly-documented-function,Poorly documented large function,Poorly documented function: fewer than 2% comments for a function of 129 lines.,,MEDIUM
d057e3898f9763d5:1,codec/decoder/plus/src/welsDecoderExt.cpp,311,7,-1,44,True,False,False,cpp/stack-address-escape,Local variable address stored in non-local memory,A stack address which arrived via a [parameter](1) may be assigned to a non-local variable.,,MEDIUM
b3e9d060df8a5108:1,codec/decoder/plus/src/welsDecoderExt.cpp,160,18,-1,38,True,False,False,cpp/incorrect-allocation-error-handling,Incorrect allocation-error handling,This allocation cannot return null. [This check](1) is unnecessary.,"CWE-570,CWE-252,CWE-755",MEDIUM
ffd727f17189e5e1:1,codec/decoder/plus/src/welsDecoderExt.cpp,1482,16,-1,34,True,False,False,cpp/incorrect-allocation-error-handling,Incorrect allocation-error handling,This allocation cannot return null. [This check](1) is unnecessary.,"CWE-570,CWE-252,CWE-755",MEDIUM
