location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_in_target_file,warning_in_target_function,warning_in_target_code_block,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
0b20edd036d9eceefcb8b8b535f7477091743a5cc706a75a6a03c6eb81b0c856,codec/decoder/plus/src/welsDecoderExt.cpp,148,3,-1,45,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
70be3fc62d001f3556ab6a6f93bedadb6884502fb024a997e45c4d50eefe3ddc,codec/decoder/plus/src/welsDecoderExt.cpp,153,3,-1,48,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
3fa1882fbb2b51fbe1f1769f40fd4db9a601c0a1fe248fa1bba8578d6419fb84,codec/decoder/plus/src/welsDecoderExt.cpp,445,7,-1,67,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
3fa1882fbb2b51fbe1f1769f40fd4db9a601c0a1fe248fa1bba8578d6419fb84,codec/decoder/plus/src/welsDecoderExt.cpp,462,5,-1,65,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
aefa81163f73ca66c60d67676b80365538b9dd4bead9ee2cdee4feeb369b37b6,codec/decoder/plus/src/welsDecoderExt.cpp,637,5,-1,95,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
783f06f8eca8c7027feeea63edafa077ad61815f4f520215ec9a90f363c3e605,codec/decoder/plus/src/welsDecoderExt.cpp,966,5,-1,101,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
367d3d745baa39e01fda80fad97bb5e627ec337dfb4afc23f147b1c8da43701e,codec/decoder/plus/src/welsDecoderExt.cpp,970,5,-1,110,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
a3af087ef0a71b7bcb5bd8d62c10be216054778558e05df195c4cadeef52fc5f,codec/decoder/plus/src/welsDecoderExt.cpp,1072,7,-1,80,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
783f06f8eca8c7027feeea63edafa077ad61815f4f520215ec9a90f363c3e605,codec/decoder/plus/src/welsDecoderExt.cpp,1117,5,-1,101,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
367d3d745baa39e01fda80fad97bb5e627ec337dfb4afc23f147b1c8da43701e,codec/decoder/plus/src/welsDecoderExt.cpp,1121,5,-1,110,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
a07691bc3b4e1b993c5430d06391794f65002c15cf74fae850f54c2bd323d2d9,codec/decoder/plus/src/welsDecoderExt.cpp,1158,7,-1,124,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
367d3d745baa39e01fda80fad97bb5e627ec337dfb4afc23f147b1c8da43701e,codec/decoder/plus/src/welsDecoderExt.cpp,1162,7,-1,112,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
783f06f8eca8c7027feeea63edafa077ad61815f4f520215ec9a90f363c3e605,codec/decoder/plus/src/welsDecoderExt.cpp,1201,7,-1,103,True,False,False,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
367d3d745baa39e01fda80fad97bb5e627ec337dfb4afc23f147b1c8da43701e,codec/decoder/plus/src/welsDecoderExt.cpp,1205,7,-1,112,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
a545fea5c60efd74f33c1d7093801dc0cccee49fa2a57099b0c355936da5eb37,codec/decoder/plus/src/welsDecoderExt.cpp,1292,5,-1,75,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
8ad6bba02a4986782c3cc7daed3b0473424708f786cbd1a3f20ba949117223ee,codec/decoder/plus/src/welsDecoderExt.cpp,1431,3,-1,75,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
