location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
ed395b9406ee5bb203f8ba25c3878c41,include/internal/packet.h,366,5,366,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
56526499bcf66b216de836694a3ce054,include/internal/packet.h,402,5,402,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
700bee9e7547c60de1244bfb29e2d402,ssl/ssl_locl.h,1080,8,1080,8,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct ssl_st' (44 padding bytes, where 4 is optimal). Optimal fields order: method, rbio, wbio, bbio, handshake_func, init_buf, init_msg, init_num, init_off, d1, msg_callback, msg_callback_arg, param, peer_ciphers, cipher_list, cipher_list_by_id, tls13_ciphersuites, enc_read_ctx, read_hash, compress, expand, enc_write_ctx, write_hash, cert, cert_verify_hash_len, sid_ctx_length, session, psksession, psksession_id, psksession_id_len, generate_session_id, tmp_session_id_len, verify_callback, info_callback, psk_client_callback, psk_server_callback, psk_find_session_cb, psk_use_session_cb, ctx, verified_chain, verify_result, ca_names, client_ca_names, max_cert_list, split_send_fragment, max_send_fragment, max_pipelines, clienthello, ct_validation_callback, ct_validation_callback_arg, scts, session_ctx, srtp_profiles, srtp_profile, pha_context, pha_context_len, pha_dgst, not_resumable_session_cb, default_passwd_callback, default_passwd_callback_userdata, job, waitctx, asyncrw, record_padding_cb, record_padding_arg, block_padding, lock, num_tickets, sent_tickets, next_ticket_nonce, allow_early_data_cb, allow_early_data_cb_data, async_cb, async_cb_arg, shared_sigalgs, shared_sigalgslen, ex_data, dane, srp_ctx, ext, s3, rlayer, version, rwstate, server, new_session, quiet_shutdown, shutdown, early_data_state, hit, mac_flags, hello_retry_request, verify_mode, error, error_code, references, options, mode, min_proto_version, max_proto_version, first_packet, client_version, servername_done, scts_parsed, renegotiate, key_update, post_handshake_auth, pha_enabled, certreqs_sent, max_early_data, recv_max_early_data, early_data_count, statem, read_iv, write_iv, sid_ctx, tmp_session_id, early_secret, handshake_secret, master_secret, resumption_master_secret, client_finished_secret, server_finished_secret, server_finished_hash, handshake_traffic_hash, client_app_traffic_secret, server_app_traffic_secret, exporter_master_secret, early_exporter_master_secret, cert_verify_hash, consider reordering the fields or adding explicit padding members",,LOW
798c6f2ac4eb78a7bc2338ade0640fda,ssl/statem/statem_clnt.c,1218,13,1218,13,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
17d0b8090f580e78eb945704a368ae74,ssl/statem/statem_clnt.c,1379,31,1379,31,core.NullDereference,core.NullDereference,Access to field 'algorithm2' results in a dereference of a null pointer (loaded from field 'cipher'),"CWE-703,CWE-710",HIGH
b31016ae003ee8388d41ee6e5afb5faa,ssl/statem/statem_clnt.c,1630,17,1630,17,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11,,MEDIUM
245a47fb8ac8e81b4c30a4cd41ec8383,ssl/statem/statem_clnt.c,2897,5,2897,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
c3cb4d4f79b37ab971373c13e4c4602e,ssl/statem/statem_clnt.c,3390,5,3390,5,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'pmslen' is never read,CWE-710,LOW
0aceb2aa6d02af576656973fdd988b54,ssl/statem/statem_clnt.c,3641,5,3641,5,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,security.insecureAPI.DeprecatedOrUnsafeBufferHandling,Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11,,MEDIUM
080d43c8859542878bfe59e36825719a,crypto/rc2/rc2cfb64.c,72,5,72,5,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'v0' is never read,CWE-710,LOW
