location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
c16e0e8a6de9bd2fcf4e211e47ef5843e76daafbf2a32bd948733f29ceca3dfb,e_os.h,168,13,-1,35,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
9fb053162b256d902457328ddd8de132b10bc211c3ba02941898c0a9ed4db35a,e_os.h,308,12,-1,22,FF1040,misc/open,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
5d08d28b81f8c723d046baac291a323daaa3a0b199dd725000b87ded9d79aa41,include/openssl/err.h,49,5,-1,36,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
7077269aaf2abe29c09e963f02fedcde79f2a918c97996d5c58928c7a32c1794,include/openssl/err.h,52,11,-1,42,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
e4b057f2b9cbbcf62e60e7250d63676c1ee1cdd17f85121a7ae46f0b6af02f26,include/openssl/err.h,54,11,-1,42,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
97f0a6c1fd22301782e3b963e64736d625ef3ff4673cc8be8632a165fa802c2f,include/openssl/ebcdic.h,25,23,-1,44,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
0180cc36639039440ca78686de81c197d3570bcb4296e50e7fa7935937e5db77,include/openssl/ebcdic.h,26,23,-1,45,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
c2a5e77b654f53b4aaf7881eb774400e0baf48de63696bf593b0c9e568420272,include/openssl/evp.h,409,14,-1,41,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
5d225c9387cc0a2c1262c1b93c5d3ee0671dbcbc7cd0fffad0467931880b3bcf,include/openssl/evp.h,771,19,-1,37,FF1050,crypto/EVP_des_ecb,"crypto/EVP_des_ecb:DES only supports a 56-bit keysize, which is too small given today's computers (CWE-327).",CWE-327,HIGH
88fcfb7681daae95cc64f5ea687cb75a115479ead38b7e33789ccf979e68e508,include/openssl/evp.h,777,11,-1,36,FF1050,crypto/EVP_des_ecb,"crypto/EVP_des_cfb:DES only supports a 56-bit keysize, which is too small given today's computers (CWE-327).",CWE-327,HIGH
