location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
311a73855b3f4477ee6a4d02482e7c09,/usr/include/c++/9/bits/atomic_base.h,207,20,207,20,deadcode.DeadStores,deadcode.DeadStores,Value stored to '__b' during its initialization is never read,CWE-710,LOW
890f61293b984671c6bf407dbbf4352a,/usr/include/c++/9/bits/atomic_base.h,218,20,218,20,deadcode.DeadStores,deadcode.DeadStores,Value stored to '__b' during its initialization is never read,CWE-710,LOW
13060178c2c3d26b31282cab942a78a7,Dist/header/PcapFileDevice.h,182,39,182,39,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'PcapNgFileReaderDevice::close' during destruction bypasses virtual dispatch,CWE-710,MEDIUM
7828dcb472ac930655ab96963cb3ff09,Dist/header/PcapFileDevice.h,420,39,420,39,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'PcapNgFileWriterDevice::close' during destruction bypasses virtual dispatch,CWE-710,MEDIUM
dbb5b697af0a674295df3366afe2c0fe,Dist/header/PPPoELayer.h,285,195,285,195,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'PPPoEDiscoveryLayer::getHeaderLen' during construction bypasses virtual dispatch,CWE-710,MEDIUM
13060178c2c3d26b31282cab942a78a7,Dist/header/PcapFileDevice.h,182,39,182,39,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'PcapNgFileReaderDevice::close' during destruction bypasses virtual dispatch,CWE-710,MEDIUM
7828dcb472ac930655ab96963cb3ff09,Dist/header/PcapFileDevice.h,420,39,420,39,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'PcapNgFileWriterDevice::close' during destruction bypasses virtual dispatch,CWE-710,MEDIUM
d43b8683c4d38252f72c9e78a761bb52,Packet++/header/TcpReassembly.h,119,60,119,60,core.CallAndMessage,core.CallAndMessage,Called C++ object pointer is null,CWE-710,HIGH
c5649e0b95a7347da3606e4b417c4783,Packet++/src/TcpReassembly.cpp,68,11,68,11,cplusplus.NewDelete,cplusplus.NewDelete,Use of memory after it is freed,CWE-664,HIGH
3eeabb613d77c1da589c78ee4bedaa8f,Packet++/src/TcpReassembly.cpp,73,11,73,11,cplusplus.NewDelete,cplusplus.NewDelete,Use of memory after it is freed,CWE-664,HIGH
