location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
f69e6254f97e696:1,Dist/header/SSLCommon.h,467,7,-1,31,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
f69e6254f97e696:1,Packet++/header/SSLCommon.h,467,7,-1,31,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
f3cbae69b22dca7d:1,Dist/header/IPv4Layer.h,111,7,-1,22,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
f3cbae69b22dca7d:1,Packet++/header/IPv4Layer.h,111,7,-1,22,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
38ada89d8d0e157a:1,Dist/header/SSLCommon.h,404,7,-1,23,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
38ada89d8d0e157a:1,Packet++/header/SSLCommon.h,404,7,-1,23,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
3c982e90e5944e5b:1,Dist/header/IPv4Layer.h,61,7,-1,22,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
3c982e90e5944e5b:1,Packet++/header/IPv4Layer.h,61,7,-1,22,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
661e33c053b6d229:1,Common++/header/SystemUtils.h,271,15,-1,19,cpp/array-in-interface,No raw arrays in interfaces,Raw arrays should not be used in interfaces. A container class should be used instead.,,LOW
661e33c053b6d229:1,Dist/header/SystemUtils.h,271,15,-1,19,cpp/array-in-interface,No raw arrays in interfaces,Raw arrays should not be used in interfaces. A container class should be used instead.,,LOW
c11ef436b1975358:1,Pcap++/src/RawSocketDevice.cpp,516,2,-1,34,cpp/resource-not-released-in-destructor,Resource not released in destructor,Resource m_Socket is acquired by class RawSocketDevice but not released anywhere in this class.,CWE-404,MEDIUM
4f67477050ba3062:1,Packet++/src/RawPacket.cpp,32,2,-1,12,cpp/virtual-call-in-constructor,Virtual call from constructor or destructor,"Call to virtual function [setRawData](1) which is overridden in [MBufRawPacket](2). If you intend to statically call this virtual function, it should be qualified with RawPacket::.",,MEDIUM
1d5606fbf9269b9:1,Packet++/src/RawPacket.cpp,26,2,-1,12,cpp/virtual-call-in-constructor,Virtual call from constructor or destructor,"Call to virtual function [setRawData](1) which is overridden in [MBufRawPacket](2). If you intend to statically call this virtual function, it should be qualified with RawPacket::.",,MEDIUM
802a4d7a166d2b5c:1,Dist/header/TablePrinter.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
caab8757f08ea2f7:1,Tests/Pcap++Test/Common/GlobalTestArgs.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
cebc99024338d57d:1,3rdParty/LightPcapNg/LightPcapNg/src/light_platform.c,114,2,126,3,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
14eb212f86ca0924:1,3rdParty/LightPcapNg/LightPcapNg/src/light_platform.c,48,2,56,3,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
