location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
805d45dc84c3a5ebdc034b4835b99b68,src/spss/readstat_sav_write.c,467,17,467,17,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'retval' is never read,CWE-710,LOW
ee762d2b7583c387a8a7060f5b44459a,src/bin/write/mod_csv.c,50,9,50,9,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'mod_ctx',CWE-664,MEDIUM
0b63724908fc1db2ef8693edd1a1bcfe,src/spss/readstat_sav_read.c,786,14,786,14,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'bytes_read' is used in the enclosing expression, the value is never actually read from 'bytes_read'",CWE-710,LOW
ab193cd7c06ae466710e3237d27ff7b7,src/sas/readstat_sas7bdat_read.c,404,13,404,13,core.uninitialized.Assign,core.uninitialized.Assign,Assigned value is garbage or undefined,CWE-664,HIGH
7242e3e32dd62b91a04e03be533a7240,src/bin/write/mod_readstat.c,84,9,84,9,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'mod_ctx',CWE-664,MEDIUM
7d5649cb84d407d45d8a635777ac501e,src/bin/extract_metadata.c,202,13,202,13,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
dd8374c4ae1eeddc0e97a20a6bf90775,src/bin/extract_metadata.c,212,9,212,9,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
924d262662042be8dddbaa81690d6bf6,src/readstat_writer.c,118,19,118,19,optin.portability.UnixAPI,optin.portability.UnixAPI,Call to 'malloc' has an allocation size of 0 bytes,CWE-710,MEDIUM
c512a75d0e3a587c57eeceaa1ac96359,src/readstat_writer.c,216,10,216,10,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'error' is used in the enclosing expression, the value is never actually read from 'error'",CWE-710,LOW
ec47c74a5ed0a0332f30945f215f01a7,src/readstat_writer.c,219,10,219,10,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'error' is used in the enclosing expression, the value is never actually read from 'error'",CWE-710,LOW
02c14d30dd0eb8fd9945725aa830815a,src/readstat_writer.c,376,5,376,5,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
f45befe1c1da4133eae940224f05541b,src/spss/readstat_por_read.c,518,5,518,5,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
5983acccabf837a3cf023d9973621372,src/stata/readstat_dta_write.c,937,9,937,9,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'error' is never read,CWE-710,LOW
59ec4846ee3941730291687a8b700fc9,src/stata/readstat_dta_write.c,941,10,941,10,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'error' is used in the enclosing expression, the value is never actually read from 'error'",CWE-710,LOW
7aa3c7db77ca21bededc3c9baf3b9edc,src/stata/readstat_dta_write.c,944,10,944,10,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'error' is used in the enclosing expression, the value is never actually read from 'error'",CWE-710,LOW
e9fc3a7ebdc725e0b35de1501a24ce85,src/stata/readstat_dta_write.c,947,10,947,10,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'error' is used in the enclosing expression, the value is never actually read from 'error'",CWE-710,LOW
c7b63636b4e3862424d64a80b1af54b2,src/sas/readstat_xport_read.c,285,9,285,9,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
c1d026f94695cc1b0f83d8a5ca2dfc1e,src/stata/readstat_dta_read.c,143,9,143,9,core.NonNullParamChecker,core.NonNullParamChecker,Null pointer passed to 2nd parameter expecting 'nonnull',CWE-703,HIGH
e72be1e9fe82fb7aa48da4e864f82953,src/stata/readstat_dta_read.c,1212,10,1212,10,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'retval' is used in the enclosing expression, the value is never actually read from 'retval'",CWE-710,LOW
42eabf33ca1fe65938f0f3ed588b465d,src/spss/readstat_zsav_compress.c,40,23,40,23,optin.portability.UnixAPI,optin.portability.UnixAPI,Call to 'realloc' has an allocation size of 0 bytes,CWE-710,MEDIUM
1822aa705a4284fb2d3cded86b96db30,src/spss/readstat_sav_parse.c,54,13,54,13,core.NonNullParamChecker,core.NonNullParamChecker,Null pointer passed to 2nd parameter expecting 'nonnull',CWE-703,HIGH
