location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_in_target_file,warning_in_target_function,warning_in_target_code_block,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
f293d5d5cdcac8d5:1,src/sas/readstat_sas7bdat_read.c,1118,9,-1,14,True,False,False,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
75dbd6d2d67c99e5:1,src/sas/readstat_sas7bdat_read.c,99,14,-1,22,True,False,False,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
d2183cd310d7dc19:1,src/sas/readstat_sas7bdat_read.c,102,14,-1,28,True,False,False,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
60229bfa48abfe5e:1,src/sas/readstat_sas7bdat_read.c,105,14,-1,18,True,False,False,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
21deb9ce3a93c6d0:1,src/sas/readstat_sas7bdat_read.c,108,14,-1,17,True,False,False,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
6c0bf0ace5223029:1,src/sas/readstat_sas7bdat_read.c,571,28,-1,36,True,False,False,cpp/use-after-free,Potential use after free,Memory may have been previously freed by [call to free](1).,CWE-416,MEDIUM
6c0bf0ace5223029:1,src/sas/readstat_sas7bdat_read.c,571,44,-1,52,True,False,False,cpp/use-after-free,Potential use after free,Memory may have been previously freed by [call to free](1).,CWE-416,MEDIUM
6c0bf0ace5223029:1,src/sas/readstat_sas7bdat_read.c,571,62,-1,70,True,False,False,cpp/use-after-free,Potential use after free,Memory may have been previously freed by [call to free](1).,CWE-416,MEDIUM
4ed6cdcbbf8be6ef:1,src/sas/readstat_sas7bdat_read.c,757,56,-1,76,True,False,False,cpp/integer-multiplication-cast-to-long,Multiplication result converted to larger type,Multiplication result may overflow 'int' before it is converted to 'unsigned long'.,"CWE-190,CWE-192,CWE-197,CWE-681",MEDIUM
525377caf948669:1,src/sas/readstat_sas7bdat_read.c,665,33,-1,53,True,False,False,cpp/integer-multiplication-cast-to-long,Multiplication result converted to larger type,Multiplication result may overflow 'int' before it is converted to 'unsigned long'.,"CWE-190,CWE-192,CWE-197,CWE-681",MEDIUM
cb8c773b2c50b44:1,src/sas/readstat_sas7bdat_read.c,686,98,-1,118,True,False,False,cpp/integer-multiplication-cast-to-long,Multiplication result converted to larger type,Multiplication result may overflow 'int' before it is converted to 'unsigned long'.,"CWE-190,CWE-192,CWE-197,CWE-681",MEDIUM
ea5b59e1ce736810:1,src/sas/readstat_sas7bdat_read.c,987,18,-1,41,True,False,False,cpp/poorly-documented-function,Poorly documented large function,Poorly documented function: fewer than 2% comments for a function of 136 lines.,,MEDIUM
