location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
55e7393f84ac91805f24dd3399b41f3c3f07d083903f97cf38e2a5f564d11aca,src/txt/readstat_spss_commands_read.c,1637,17,-1,54,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
cc1eaa685de8ea103d0c3de6837f88703ec9118bdd3ee66bbfa0d6d32d4ecfb9,src/txt/readstat_spss_commands_read.c,1656,5,-1,22,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
fff1a99a7274745120384e0107c05a375d43def0aac1daf8a388e1576ad18f3f,src/txt/readstat_spss_commands_read.c,1657,5,-1,22,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
45363a647d51e3d86314471f68bffe32759c4144dee1998d63dd66ecbcbe1a88,src/txt/readstat_spss_commands_read.c,1658,5,-1,27,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
5065f5757ec562d76d80e513ac33668b30265995d34290fc3fe7083c178c0622,src/txt/readstat_spss_commands_read.c,1659,5,-1,20,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
35c1189f55d30fb9c24cc5586ac4ddc0979d7069e72468a9dfe987e6a525e156,src/txt/readstat_spss_commands_read.c,1661,5,-1,29,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
fb55610baa348e1dc937a36b05be3facc742af7d0a121d05d107c62117c94148,src/txt/readstat_spss_commands_read.c,1834,17,-1,73,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
7f4fea640b1b7b778a35ba7ce9a9c414fa262770b7c708d7334a4ad8da0a0f93,src/txt/readstat_spss_commands_read.c,1852,13,-1,37,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
24d410d0090106b7a9416fc222443dfbb355503b33f785ee8a548922dcc0a68d,src/txt/readstat_spss_commands_read.c,1853,13,-1,90,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
7f4fea640b1b7b778a35ba7ce9a9c414fa262770b7c708d7334a4ad8da0a0f93,src/txt/readstat_spss_commands_read.c,1863,13,-1,37,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
4c53abd47c9e7f7d33bae96061605cddf330be625e4e8a321850d4155a996acd,src/txt/readstat_spss_commands_read.c,1864,13,-1,88,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
1ed4f9a5e0f33101494fe34e236a53f588e1d55d07a17158d4809b52eedfad56,src/txt/readstat_spss_commands_read.c,2000,9,-1,30,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
9a06ddf757abf210d4e3b562c6533c9d2d1a6bbba0bef4c59a4642bbff549511,src/txt/readstat_spss_commands_read.c,2002,13,-1,122,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
401e70c861eb0dece09e7a126d603c127bb30906a7ad5a7fc0eba851843833d5,src/txt/readstat_spss_commands_read.c,2004,13,-1,117,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
6e1b14ac85ec85e442ca1809336390d1d47a3eb5221c0797ef969ba0b08d6c78,src/txt/readstat_stata_dictionary_read.c,459,21,-1,64,FF1040,misc/open,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
55e7393f84ac91805f24dd3399b41f3c3f07d083903f97cf38e2a5f564d11aca,src/txt/readstat_stata_dictionary_read.c,479,17,-1,54,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
