location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_in_target_file,warning_in_target_function,warning_in_target_code_block,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
fc2445f493cb10910ffa732c1ef2e6865bc1d73bab478d195219aebc754be081,src/sas/readstat_sas7bdat_read.c,79,5,-1,39,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
4b609e39831c64735e51516a19f71525653ac21c41051e6056ee672d362ce3b4,src/sas/readstat_sas7bdat_read.c,80,5,-1,36,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
c229ee09b719406fb9a16e98b4afcf71f8c4ead96bde74ba4d5f62ceca99a42c,src/sas/readstat_sas7bdat_read.c,144,5,-1,62,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
b24f4f630b22cad64112e67eea3f189db05b601291c1a48047b8d23d31a117ac,src/sas/readstat_sas7bdat_read.c,381,17,-1,65,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
e840807452fd92b19350c786fc66492a2d5406287435b69bf2fd62e29c850c85,src/sas/readstat_sas7bdat_read.c,406,9,-1,32,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
b24f4f630b22cad64112e67eea3f189db05b601291c1a48047b8d23d31a117ac,src/sas/readstat_sas7bdat_read.c,491,13,-1,62,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
b24f4f630b22cad64112e67eea3f189db05b601291c1a48047b8d23d31a117ac,src/sas/readstat_sas7bdat_read.c,569,17,-1,65,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
cb605617e0efb99feb631b2d1aa51f398f873f158df0b997b4e9110b1186ec4b,src/sas/readstat_sas7bdat_read.c,838,17,-1,114,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
459fc74450779b07a136af8fbde3efce0400574ff571b4ab9d9cfa72c498cc28,src/sas/readstat_sas7bdat_read.c,853,17,-1,68,True,False,False,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
5c70fa588272dae7c2480cebd7de9e62c10b1bb08f4635db87a60caec7832cbe,src/sas/readstat_sas7bdat_read.c,865,17,-1,79,True,False,False,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
b24f4f630b22cad64112e67eea3f189db05b601291c1a48047b8d23d31a117ac,src/sas/readstat_sas7bdat_read.c,873,17,-1,66,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,HIGH
cb605617e0efb99feb631b2d1aa51f398f873f158df0b997b4e9110b1186ec4b,src/sas/readstat_sas7bdat_read.c,900,17,-1,114,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
459fc74450779b07a136af8fbde3efce0400574ff571b4ab9d9cfa72c498cc28,src/sas/readstat_sas7bdat_read.c,915,17,-1,68,True,False,False,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
5c70fa588272dae7c2480cebd7de9e62c10b1bb08f4635db87a60caec7832cbe,src/sas/readstat_sas7bdat_read.c,931,17,-1,79,True,False,False,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
b24f4f630b22cad64112e67eea3f189db05b601291c1a48047b8d23d31a117ac,src/sas/readstat_sas7bdat_read.c,939,17,-1,66,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,HIGH
2d29494be97d0674ab4b14e00921451a7fa992801a55e05b18801f21b1e46003,src/sas/readstat_sas7bdat_read.c,964,17,-1,80,True,False,False,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
b24f4f630b22cad64112e67eea3f189db05b601291c1a48047b8d23d31a117ac,src/sas/readstat_sas7bdat_read.c,972,17,-1,66,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,HIGH
4b98ab6de59bb157bb479594870198f0fed811b7e46bea9c7108956137311c51,src/sas/readstat_sas7bdat_read.c,1002,13,-1,44,True,False,False,FF1040,misc/open,"misc/open:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
6c52f288d4ac78582a0bfccadebd63737ab0583463a4139a1385b3793143f869,src/sas/readstat_sas7bdat_read.c,1010,13,-1,105,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
5d4dcd7940c09f4465cf88aa0b8052c2dc2eb36dcc6b88fa20dd154890e9b775,src/sas/readstat_sas7bdat_read.c,1019,13,-1,111,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
6abecc52396c6c63ddf20811925f86531e8549d72c5316117a39fa7e276c6364,src/sas/readstat_sas7bdat_read.c,1074,13,-1,111,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,HIGH
c71d6b4c44ed82934799a2f593afb099cb511566e39a8ec01eee2d2e64d5f7bf,src/sas/readstat_sas7bdat_read.c,1092,13,-1,109,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
8ec9730a07823a7f00ac27e3c5751418435af3584c0133318257d5763d7868c7,src/sas/readstat_sas7bdat_read.c,1110,13,-1,109,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
