location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
df16335626812159b8b3e7cdc8bcc3bd,usrsctplib/netinet/sctp_input.c,5031,27,5031,27,core.NullDereference,core.NullDereference,Dereference of null pointer (loaded from variable 'netp'),"CWE-703,CWE-710",HIGH
0b486f1cabf2bd71440da14932955a8c,usrsctplib/netinet/sctp_input.c,5469,59,5469,59,core.NullDereference,core.NullDereference,Dereference of null pointer (loaded from variable 'netp'),"CWE-703,CWE-710",HIGH
583bcb928be271e9839493d7e06de55b,usrsctplib/user_mbuf.c,203,2,203,2,unix.Malloc,unix.Malloc,Use of memory after it is freed,CWE-664,MEDIUM
fc06f7c9186c57ec1390c27ec42704b0,usrsctplib/user_mbuf.c,250,6,250,6,core.NullDereference,core.NullDereference,Dereference of null pointer,"CWE-703,CWE-710",HIGH
18ab263dd7bee77b5951c617432e12d4,usrsctplib/user_mbuf.c,845,61,845,61,core.UndefinedBinaryOperatorResult,core.UndefinedBinaryOperatorResult,The left operand of '&' is a garbage value,"CWE-703,CWE-707",HIGH
681e9c8c1463eedf39f396137d1923ba,usrsctplib/user_mbuf.c,891,45,891,45,core.UndefinedBinaryOperatorResult,core.UndefinedBinaryOperatorResult,The left operand of '+' is a garbage value,"CWE-703,CWE-707",HIGH
0689c29ab7095b23ae26888a73e971ff,usrsctplib/user_mbuf.c,948,2,948,2,core.CallAndMessage,core.CallAndMessage,4th function call argument is an uninitialized value,CWE-710,HIGH
796517cf087a63a8a99c756471eea77d,usrsctplib/user_mbuf.c,1082,2,1082,2,core.CallAndMessage,core.CallAndMessage,1st function call argument is an uninitialized value,CWE-710,HIGH
d3d4fe5361715f69a6799e49e634cc47,usrsctplib/user_mbuf.c,1116,2,1116,2,core.UndefinedBinaryOperatorResult,core.UndefinedBinaryOperatorResult,The left operand of '&' is a garbage value,"CWE-703,CWE-707",HIGH
fb7ef924966c3e4ef07efc93a3dc492c,usrsctplib/user_mbuf.c,1194,4,1194,4,core.CallAndMessage,core.CallAndMessage,1st function call argument is an uninitialized value,CWE-710,HIGH
fb68bb88c3840d6e8bc6666098ed3320,usrsctplib/user_mbuf.c,1245,61,1245,61,core.UndefinedBinaryOperatorResult,core.UndefinedBinaryOperatorResult,The left operand of '&' is a garbage value,"CWE-703,CWE-707",HIGH
84145d59e67b141edccce7cacc02429e,usrsctplib/user_mbuf.c,1311,4,1311,4,core.CallAndMessage,core.CallAndMessage,1st function call argument is an uninitialized value,CWE-710,HIGH
a7d28fd4c9166dddff159d4e07419721,usrsctplib/user_mbuf.c,1319,14,1319,14,core.UndefinedBinaryOperatorResult,core.UndefinedBinaryOperatorResult,The right operand of '+' is a garbage value,"CWE-703,CWE-707",HIGH
37236257047e68c10981a02bc36bc783,usrsctplib/user_mbuf.c,1363,17,1363,17,core.UndefinedBinaryOperatorResult,core.UndefinedBinaryOperatorResult,The left operand of '&' is a garbage value,"CWE-703,CWE-707",HIGH
be5a9c9f5c081b628778b456ccecc6b9,usrsctplib/user_mbuf.c,1539,4,1539,4,core.UndefinedBinaryOperatorResult,core.UndefinedBinaryOperatorResult,The left operand of '&' is a garbage value,"CWE-703,CWE-707",HIGH
f0db0d0c374fe3b4b4d88148e78341f8,usrsctplib/user_mbuf.c,1549,4,1549,4,core.UndefinedBinaryOperatorResult,core.UndefinedBinaryOperatorResult,The left operand of '&' is a garbage value,"CWE-703,CWE-707",HIGH
aa1ccb9ed5934f6ebf1f9da5372d81ce,usrsctplib/user_mbuf.c,1558,3,1558,3,core.UndefinedBinaryOperatorResult,core.UndefinedBinaryOperatorResult,The left operand of '&' is a garbage value,"CWE-703,CWE-707",HIGH
63dbed568ac1c54b8cb6122756601aee,usrsctplib/user_socket.c,2055,58,2055,58,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'error' is used in the enclosing expression, the value is never actually read from 'error'",CWE-710,LOW
f9a9f706f08252d66bddd45af9487727,usrsctplib/user_socket.c,3146,8,3146,8,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'res' is used in the enclosing expression, the value is never actually read from 'res'",CWE-710,LOW
fba7e0a9e6d336cc4f01ef60ec5bff1f,usrsctplib/user_socket.c,3151,8,3151,8,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'res' is used in the enclosing expression, the value is never actually read from 'res'",CWE-710,LOW
853c146daf688a83520ef0cd1f52acdd,usrsctplib/user_socket.c,3300,8,3300,8,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'res' is used in the enclosing expression, the value is never actually read from 'res'",CWE-710,LOW
08eff8dffc33937563e1a01d6ed11e0b,usrsctplib/user_socket.c,3305,8,3305,8,deadcode.DeadStores,deadcode.DeadStores,"Although the value stored to 'res' is used in the enclosing expression, the value is never actually read from 'res'",CWE-710,LOW
65c776d1f397d9c5274ad9fe037c6108,usrsctplib/user_socket.c,3429,2,3429,2,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
62d8c3656b8cf91c2747c91f1fcffd74,usrsctplib/user_socket.c,3446,2,3446,2,security.insecureAPI.strcpy,security.insecureAPI.strcpy,Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119,,MEDIUM
1708e8470e5183568697ac92069b611e,usrsctplib/netinet/sctp_indata.c,927,13,927,13,unix.Malloc,unix.Malloc,Potential leak of memory pointed to by 'nc',CWE-664,MEDIUM
