location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
62e13c9a3b22dc97:1,usrsctplib/netinet/sctp_pcb.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
b02774dfc1be7970:1,usrsctplib/netinet/sctp_auth.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
62e13c9a3b22dc97:1,usrsctplib/netinet/sctp_header.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
51442fc95a429158:1,usrsctplib/netinet/sctp_os.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
62e13c9a3b22dc97:1,usrsctplib/netinet/sctp_bsd_addr.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
62e13c9a3b22dc97:1,usrsctplib/netinet/sctputil.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
62e13c9a3b22dc97:1,usrsctplib/netinet/sctp_indata.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
51284c2f43699cde:1,usrsctplib/netinet/sctp_sysctl.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
62e13c9a3b22dc97:1,usrsctplib/netinet/sctp_asconf.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
62e13c9a3b22dc97:1,usrsctplib/netinet/sctp_timer.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
62e13c9a3b22dc97:1,usrsctplib/netinet/sctp_uio.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
