location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
29e32b00f2ee75c19aaa219144ea8056291ba1d0f352f95e63b2fd9ba79c1ef5,usrsctplib/user_malloc.h,152,2,-1,36,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
926e789cf364f3efb5135bff62f2b3248acaccd7c8d73526ddc29fdd2df7bc97,usrsctplib/netinet/sctp_bsd_addr.c,495,2,-1,27,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
057440a132251e25f86ee4007cbe7d4c82df4d31e23a9cca892dddc438b35c89,usrsctplib/netinet/sctp_bsd_addr.c,543,4,-1,76,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
f4a8b269606de319cc29d5c426a05af57cc5a30c10ea76475180d4094033c64d,usrsctplib/netinet/sctp_bsd_addr.c,1005,2,-1,77,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
3b595da84a03bfa0a5a53ac463516d7979057d0c2231ab0bbaeab041f1556162,usrsctplib/netinet/sctp_output.c,2862,3,-1,59,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
4d6464aa6369244de8285f1d179365cc755168061fe21fc28314c0711314fb08,usrsctplib/netinet/sctp_output.c,2909,4,-1,68,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
5a704abc8774a5a2da5d88ae21da6793d69cd2e2192eedaecce6351cf6d8ddef,usrsctplib/netinet/sctp_output.c,3990,2,-1,56,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
98685e0b7988bf5ff15f56c70c842d1d4d298084bda7b6bee644ba3ec8dc41a3,usrsctplib/netinet/sctp_output.c,4290,4,-1,40,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
0943ff397a1808b987bbc88355123764ff937655d1d112a733566b08baa0aed7,usrsctplib/netinet/sctp_output.c,4292,4,-1,56,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
fd9d9890472302aea1f01e26fe969a952a07678c8859dde647fa303ac70e091a,usrsctplib/netinet/sctp_output.c,4401,4,-1,38,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
4e9bd35db99ca20823b2009bf60052fa408a92fc5e78c61ee173e49e79988864,usrsctplib/netinet/sctp_output.c,4610,4,-1,46,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
90616d302d5043ad949ca2d20950052122fcd9316867a36aa6845ad70b1e62fb,usrsctplib/netinet/sctp_output.c,4612,4,-1,59,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
