location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_in_target_file,warning_in_target_function,warning_in_target_code_block,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
cdd02011b3f8cc31e3df6f8a2f90804a9f5729fcbd722ac3bbcde3214ec6ea2e,usrsctplib/netinet/sctp_asconf.c,148,3,-1,38,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
a41951a2754d5d001ed45555486e1996b169fd682211c5887ad1cffd322aa8ed,usrsctplib/netinet/sctp_asconf.c,234,3,-1,50,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
69bb5ac5448a190cb867fac4dfdd61a6117c8c647282e1669057c581db845a80,usrsctplib/netinet/sctp_asconf.c,395,3,-1,41,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
a41951a2754d5d001ed45555486e1996b169fd682211c5887ad1cffd322aa8ed,usrsctplib/netinet/sctp_asconf.c,533,3,-1,50,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
738689280c8763a0c68a6353b8be8d192004e6afe75bdc999807cd15a14454ab,usrsctplib/netinet/sctp_asconf.c,1309,3,-1,47,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
493aa6d210c1bf99cc8e78aa042672e521c34e069881f0dc5325d69d6f39b8e4,usrsctplib/netinet/sctp_asconf.c,1324,3,-1,45,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
738689280c8763a0c68a6353b8be8d192004e6afe75bdc999807cd15a14454ab,usrsctplib/netinet/sctp_asconf.c,1525,3,-1,47,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
493aa6d210c1bf99cc8e78aa042672e521c34e069881f0dc5325d69d6f39b8e4,usrsctplib/netinet/sctp_asconf.c,1539,3,-1,45,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
8e999c7c26a3e674789b762ef52eaf34faf0dd0b632b3c4e80a2b6db34ad170a,usrsctplib/netinet/sctp_asconf.c,1723,3,-1,32,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
26058571885badc47808564fb03beab4fd0ed80d629dc0c904fbe671a60ea4e1,usrsctplib/netinet/sctp_asconf.c,1726,3,-1,63,True,False,False,FF1019,format/snprintf,"format/snprintf:If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",CWE-134,LOW
dca7ebfd5fc7911451416cbb1b1195e70dcd734ef3c288338eac4b3f3eb4f9fa,usrsctplib/netinet/sctp_asconf.c,2680,4,-1,56,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
27613f3e648b1395ebfc4a28be1b62c531d84b4ec8e6391641079c895230e174,usrsctplib/netinet/sctp_asconf.c,2685,3,-1,34,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
eea8088944aa68ea0a8be4f8c20e6c000cd5ba73b9e5e8dd9799e93820412dbd,usrsctplib/netinet/sctp_asconf.c,2752,4,-1,46,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
5cb2bdca3c8e1165a2d0f65a0f1eeac35f8df900670266e786772554e1c28824,usrsctplib/netinet/sctp_asconf.c,2834,4,-1,70,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
9dfc148ebba5919c44085b0be38386e1834a29c49c6cc9f41ba851f7d1795c44,usrsctplib/netinet/sctp_asconf.c,2987,6,-1,29,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
