location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
78ec4ee20e117238:1,lib/common/fse.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
9a2ff9405930d95f:1,lib/common/huf.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
ae532c0e09a30fad:1,lib/zstd.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
bae1d2b6bb0b2c37:1,lib/common/xxhash.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
dc5d95839715b534:1,lib/compress/hist.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
ae532c0e09a30fad:1,lib/deprecated/zbuff.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
92cd85b479e56080:1,lib/dictBuilder/cover.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion ([#endif](1) matching [#ifndef ZDICT_STATIC_LINKING_ONLY](2) occurs before the end of the file).,,LOW
ae532c0e09a30fad:1,programs/benchfn.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
ae532c0e09a30fad:1,programs/benchzstd.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
1a3625bee369cfc3:1,lib/compress/zstd_opt.c,985,25,-1,28,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
30524edeb205d9dd:1,lib/compress/zstd_opt.c,987,49,-1,52,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
e17ba12423c01289:1,lib/dictBuilder/divsufsort.c,1567,47,-1,48,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
d9a38d6f525c409c:1,lib/dictBuilder/divsufsort.c,1572,51,-1,52,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
737e8b13565665c9:1,lib/dictBuilder/zdict.c,431,36,-1,37,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
5af6184fd8c0c660:1,lib/dictBuilder/zdict.c,451,40,-1,41,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
324a371effa44e6e:1,programs/dibio.c,133,21,-1,30,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
7c407a5680d16fd2:1,lib/compress/zstd_compress.c,3791,9,3900,10,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [zcss_load (74 lines)](1).,,LOW
88721284b2aa2a5f:1,lib/decompress/zstd_decompress.c,1608,9,1821,6,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [zdss_loadHeader (134 lines)](1).,,LOW
bae84e0938992b61:1,lib/decompress/zstd_decompress.c,892,5,1032,6,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [ZSTDds_decompressBlock (56 lines)](1).,,LOW
b249c04a7eca23ee:1,lib/decompress/zstd_decompress_block.c,88,9,233,10,cpp/long-switch,Long switch case,"Switch has at least one case that is too long: [set_compressed (77 lines)](1).
Switch has at least one case that is too long: [set_basic (32 lines)](2).",,LOW
e3fdf5cfed0a1f9e:1,lib/legacy/zstd_v06.c,4025,9,4134,6,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [ZBUFFds_loadHeader (42 lines)](1).,,LOW
86daaee386bf83cf:1,lib/legacy/zstd_v05.c,2870,5,2993,6,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [0 (39 lines)](1).,,LOW
620701ea5d4f3b8b:1,lib/legacy/zstd_v06.c,3062,5,3180,6,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [0 (38 lines)](1).,,LOW
e3fdf5cfed0a1f9e:1,lib/legacy/zstd_v07.c,4403,9,4518,6,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [ZBUFFds_loadHeader (45 lines)](1).,,LOW
464448233aa76bf8:1,lib/legacy/zstd_v07.c,3289,5,3408,6,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [lbt_huffman (39 lines)](1).,,LOW
555ea58d3df82de3:1,lib/dictBuilder/cover.c,1097,7,-1,12,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
953cec68c730b0b6:1,lib/dictBuilder/cover.c,909,19,-1,23,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
e0f3a5bb801d1a8b:1,lib/dictBuilder/cover.c,867,13,-1,17,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
f6d1615617af51d6:1,lib/dictBuilder/cover.c,824,7,-1,10,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
68b754406fe7f371:1,lib/dictBuilder/cover.c,192,12,-1,16,cpp/guarded-free,Guarded Free,unnecessary NULL check before call to [free](1),,LOW
fd8638c004a31b3b:1,lib/compress/zstd_compress.c,3909,15,-1,44,cpp/unused-static-function,Unused static function,Static function ZSTD_nextInputSizeHint_MTorST is unreachable,CWE-561,LOW
234edf4354ec8a42:1,lib/compress/zstd_compress.c,165,15,-1,32,cpp/unused-static-function,Unused static function,Static function ZSTD_sizeof_mtctx is unreachable,CWE-561,LOW
4c41ac19b5945b1f:1,lib/compress/zstdmt_compress.c,1673,15,-1,35,cpp/unused-static-function,Unused static function,Static function ZSTDMT_flushProduced is unreachable,CWE-561,LOW
78bfdd5e760254e1:1,lib/compress/zstdmt_compress.c,1764,16,-1,40,cpp/unused-static-function,Unused static function,Static function ZSTDMT_getInputDataInUse is unreachable,CWE-561,LOW
1d5dd2473e535335:1,lib/compress/zstdmt_compress.c,1833,13,-1,38,cpp/unused-static-function,Unused static function,Static function ZSTDMT_waitForLdmComplete is unreachable,CWE-561,LOW
c011d207462983c6:1,lib/compress/zstdmt_compress.c,956,13,-1,43,cpp/unused-static-function,Unused static function,Static function ZSTDMT_waitForAllJobsCompleted is unreachable ([ZSTDMT_flushProduced](1) must be removed at the same time),CWE-561,LOW
d1e48ba4b078fa08:1,lib/compress/zstdmt_compress.c,137,15,-1,39,cpp/unused-static-function,Unused static function,Static function ZSTDMT_sizeof_bufferPool is unreachable,CWE-561,LOW
c15bedb11e1c6bfb:1,lib/compress/zstdmt_compress.c,395,15,-1,37,cpp/unused-static-function,Unused static function,Static function ZSTDMT_sizeof_CCtxPool is unreachable,CWE-561,LOW
bb2c6c8be6973ad:1,lib/compress/zstdmt_compress.c,824,13,-1,33,cpp/unused-static-function,Unused static function,Static function ZSTDMT_freeJobsTable is unreachable ([ZSTDMT_createJobsTable](1) must be removed at the same time),CWE-561,LOW
d84ba8ae282cf61f:1,lib/compress/zstdmt_compress.c,123,13,-1,34,cpp/unused-static-function,Unused static function,Static function ZSTDMT_freeBufferPool is unreachable,CWE-561,LOW
fcc220f3820fb4ee:1,lib/compress/zstdmt_compress.c,351,13,-1,32,cpp/unused-static-function,Unused static function,Static function ZSTDMT_freeCCtxPool is unreachable ([ZSTDMT_createCCtxPool](1) must be removed at the same time),CWE-561,LOW
447ab7d76c5fba96:1,lib/compress/zstdmt_compress.c,535,13,-1,36,cpp/unused-static-function,Unused static function,Static function ZSTDMT_serialState_free is unreachable,CWE-561,LOW
f3e4a178d16aaca1:1,lib/compress/zstdmt_compress.c,838,31,-1,53,cpp/unused-static-function,Unused static function,Static function ZSTDMT_createJobsTable is unreachable,CWE-561,LOW
559252a1e5bdf73a:1,lib/compress/zstdmt_compress.c,106,27,-1,50,cpp/unused-static-function,Unused static function,Static function ZSTDMT_createBufferPool is unreachable,CWE-561,LOW
38d9c880a654040:1,lib/compress/zstdmt_compress.c,362,25,-1,46,cpp/unused-static-function,Unused static function,Static function ZSTDMT_createCCtxPool is unreachable,CWE-561,LOW
5f08f96455fcac25:1,lib/compress/zstdmt_compress.c,524,12,-1,35,cpp/unused-static-function,Unused static function,Static function ZSTDMT_serialState_init is unreachable,CWE-561,LOW
cf447435b91c25b3:1,lib/common/huf.h,141,46,-1,62,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
44068bebb68031c6:1,lib/common/entropy_common.c,166,5,-1,43,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
ee91bd8aefeb928e:1,lib/common/zstd_internal.h,290,27,-1,96,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
dfa5b0ceb8ad7072:1,lib/common/xxhash.c,47,-1,-1,46,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
f316b11b9fb33322:1,lib/compress/fse_compress.c,398,9,400,62,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
794e5588868114f5:1,lib/compress/zstd_compress_internal.h,907,9,-1,49,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
29b9d19613540c29:1,lib/compress/zstd_opt.c,808,9,-1,52,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
f74c540fa36a7fe:1,lib/decompress/huf_decompress.c,588,5,-1,53,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
378f8d27112c3078:1,lib/decompress/huf_decompress.c,138,5,-1,53,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
404793246ea04e87:1,lib/compress/zstdmt_compress.c,1976,9,-1,124,cpp/commented-out-code,Commented-out code,This comment appears to contain commented-out code.,,LOW
