location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
7b5b331403413250097fce57147ccabbac0866cebb558ad322df81e3143d838e,tests/regression/test.c,26,21,-1,34,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
bf00dd45bace2ed2b7ecf384b5f4d006bfd57fd05c0599f2b5954403f2bbc361,tests/regression/test.c,39,13,-1,79,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
f3bced3803f740ca699cfcabed66764917f6951f73ca877048ded7a25b3bb4e3,tests/regression/test.c,44,13,-1,73,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
00e1b222e5f32beba16a180a5c6f5e7d49c23a54c6458ce5f68ff929213ef31b,tests/regression/test.c,49,13,-1,79,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
5a4b36e31ad8f7c12bfdfb65c44612293e5d2f7b478b23cf64d971f5fc91a04d,tests/regression/test.c,132,5,-1,49,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
313919a67df298b3d7ec4a08d79e80a5f4a0a1731056ed88876c73430adfe758,tests/regression/test.c,137,13,-1,21,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
313919a67df298b3d7ec4a08d79e80a5f4a0a1731056ed88876c73430adfe758,tests/regression/test.c,146,13,-1,21,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
52b68953ad98994fc571d4ef89a60388b480c973d92fc030034645df36784500,tests/regression/test.c,162,13,-1,81,FF1027,buffer/getopt_long,"buffer/getopt_long:Some older implementations do not protect against internal buffer overflows (CWE-120, CWE-20).","CWE-120,CWE-20",MEDIUM
313919a67df298b3d7ec4a08d79e80a5f4a0a1731056ed88876c73430adfe758,tests/regression/test.c,194,9,-1,17,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
c70538fe7bd200474e0073f77b4a3013bf4e4c5e15b6cd46ae71dd8d0173e16b,tests/regression/test.c,201,9,-1,31,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
29966851592a93c0f35dbe188d80cc5617f1a23090f795e7a02f04fcea07c8df,tests/regression/test.c,212,9,-1,40,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,HIGH
bbe9670c6812e9424a68276674746d07a6a2408ab123569c58c91fb002dc2484,tests/regression/test.c,213,9,-1,40,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,HIGH
2ebfae68754593017be1f5eb5e376f9e85b1672b05493379f96b956392d97017,tests/regression/test.c,227,47,-1,65,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
ff1167575e28221b39cf42b3eda866d1d1231535d59cbf00edec789d44652214,tests/regression/test.c,228,49,-1,69,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
315ed3560de5f130d87eec1ab91ae68661f085e9212f2624579589725f9356ae,tests/regression/test.c,229,49,-1,69,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
b567f1c1aaaca452cc3a6efa52ec186175ac0e30d4871eac0db1fbed03561c01,tests/regression/test.c,298,9,-1,80,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
313919a67df298b3d7ec4a08d79e80a5f4a0a1731056ed88876c73430adfe758,tests/regression/test.c,302,9,-1,17,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
313919a67df298b3d7ec4a08d79e80a5f4a0a1731056ed88876c73430adfe758,tests/regression/test.c,311,9,-1,17,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
61d4245702ceda657f90c72306569d6bcd057b6474feeed5b4bda95e10fb27c2,tests/regression/test.c,317,9,-1,68,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
2d1f889050e6892a4ee4ad2321592380d72d88178938afd46045e6bde4524c99,tests/regression/test.c,338,9,-1,78,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
87fe6abb9e4a4e1e3514d0227bba6dc4659c9d6005d51bd56cf7f0a9383c66f5,tests/regression/test.c,344,21,-1,42,FF1040,misc/fopen,"misc/fopen:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
a4628af2bacc4d725b41d1b14e006b006f579db2ff13a9508555ae6f73fcff03,tests/regression/test.c,346,9,-1,61,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
078fa79b59689ac523d15c8d968bcc856791852a683d74944e9208320dfd8a03,tests/regression/data.c,106,9,-1,60,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
ae6f56f150f6c266e1817e0021b5a9966b1453ed373bfb34e11ff8610562c348,tests/regression/data.c,112,9,-1,44,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
cbad2ca146f08194f73c1483375b194af83a3774ac8fa8d33ec5d822ba9c6524,tests/regression/data.c,117,18,-1,40,FF1040,misc/fopen,"misc/fopen:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
d4e9605aa7002412f2b2b597d6d5963c6b1eb2fc1fbf31ee2d8a8d243a1741bc,tests/regression/data.c,119,9,-1,40,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
c8b1ac68390680e545ee334e2d39d9521c9164ab0a2678a2a139e92d7dff62d2,tests/regression/data.c,122,19,-1,64,FF1070,input/fread,input/fread:Function accepts input from outside program (CWE-20).,CWE-20,LOW
1a384b27f2c7fe4f77da7871f449c9d12edf6b723803cef7c589fdb957cbd50c,tests/regression/data.c,125,9,-1,76,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
3e62b94123e13c4117d9fa0809d3fdc7323ed1740f42b30e174411df13aaf0a1,tests/regression/data.c,254,9,-1,45,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
1e61b9586b23fb8d64287df39094c78cae6026fd9c215b5442cd84c71b8ed66d,tests/regression/data.c,266,26,-1,39,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
922ae02feb4a5731a918850573e660e379d466b9b587cce39f96e67f83e8ea8e,tests/regression/data.c,267,26,-1,39,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
57f698c38da6b6307aa64377e84a826ef0406e6d92600b5fd73800adf0ef8736,tests/regression/data.c,268,45,-1,58,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
096097610b66c8c7c0e11d87cdac93b34c6dab6dc5aed28d5d0d0cd9c4d8c8f4,tests/regression/data.c,273,5,-1,23,FF1001,buffer/strcpy,buffer/strcpy:Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,CWE-120,HIGH
4d6de875acd3da2180f2b151cabea00bfbdbe8d00120bbcc89af865bf8b79843,tests/regression/data.c,274,5,-1,31,FF1001,buffer/strcpy,buffer/strcpy:Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,CWE-120,HIGH
f873d1f734de260665fb99b8f31100ba85fc13116a080285047dc8aa114b5323,tests/regression/data.c,276,9,-1,43,FF1001,buffer/strcpy,buffer/strcpy:Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,CWE-120,HIGH
15ef2e866a555b94a31e62de267bd2a62360e66d024987e2d2fe8ebcb3a60f54,tests/regression/data.c,277,12,-1,50,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
891c0f122fc968158c600639c0f98dd1b228de7defae8b482551e773d5b56db6,tests/regression/data.c,312,22,-1,38,FF1043,shell/popen,shell/popen:This causes a new program to execute and is difficult to use safely (CWE-78).,CWE-78,HIGH
891c0f122fc968158c600639c0f98dd1b228de7defae8b482551e773d5b56db6,tests/regression/data.c,321,22,-1,38,FF1043,shell/popen,shell/popen:This causes a new program to execute and is difficult to use safely (CWE-78).,CWE-78,HIGH
313919a67df298b3d7ec4a08d79e80a5f4a0a1731056ed88876c73430adfe758,tests/regression/data.c,360,9,-1,17,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
fc77c5b5024d99d601722306a10d5c029f469019386b06736ac09a9025d3762b,tests/regression/data.c,368,9,-1,74,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
24d716a64a399a00deecbdf85bdd320ec77da8ecacf57f848580656ee2c17e79,tests/regression/data.c,373,9,-1,78,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
313919a67df298b3d7ec4a08d79e80a5f4a0a1731056ed88876c73430adfe758,tests/regression/data.c,377,9,-1,17,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
313919a67df298b3d7ec4a08d79e80a5f4a0a1731056ed88876c73430adfe758,tests/regression/data.c,383,9,-1,17,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
646fba2053ac3129b22914495c20ef2a29eb2fb46d57fabe9a4742f4279d20bd,tests/regression/data.c,442,27,-1,39,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
7a8100ce09949ff457c77918b8a45af77b0231682faa8fc36dafe916fc132b71,tests/regression/data.c,488,43,-1,64,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
670355407d77301fdb69fb02dc1b774fce0ad6d024d57e49d4944101c8c46d9a,tests/regression/data.c,507,9,-1,78,FF1017,format/fprintf,"format/fprintf:If format strings can be influenced by an attacker, they can be exploited (CWE-134).",CWE-134,LOW
01b2575f0968a0c11bc65bc457071f50bdebd7aec0726a98f5b78e228cb28e17,tests/regression/data.c,511,17,-1,36,FF1040,misc/fopen,"misc/fopen:Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",CWE-362,LOW
